hash	auto_verified	verified	checked	citation	title	author	year
('On the orders of primitive groups with restricted nonabelian composition factors', 1982)	0	1	1	â€”, P.J. Cameron, P.P. PÃ¡lfy, On the order of primitive permutation groups with bounded nonabelian composition factors, in preparation.	On the orders of primitive groups with restricted nonabelian composition factors	L Babai and P.J Cameron and P.P Pálfy	1982
('Polynomial-time algorithms for permutation groups', 1980)	0	1	1	M.L. Furst, J.E. Hopcroft, E.M. Luks, Polynomial time algorithms for permutation groups, Proc. 21st IEEE FOCS Symp. /1980/ 36â€“41.	Polynomial-time algorithms for permutation groups	Merrick Furst and John Hopcroft and Eugene Luks	1980
('M. Furst, J. Hopcroft, E. Luks, "Polynomial time algorithms for permutation groups", Proc 21st IEEE FOCS, pp. 36-41, 1980.', 'CITATION ONLY')	0	1	1	M. Furst, J. Hopcroft, E. Luks, "Polynomial time algorithms for permutation groups", Proc 21st IEEE FOCS, pp. 36-41, 1980.	Polynomial-time algorithms for permutation groups	Merrick Furst and John Hopcroft and Eugene Luks	1980
('An O(n3 log n) deterministic and an O (n 3) probabilistic isomorphism test for trivalent graphs', 1982)	0	1	1	Z. Galil, C. M. Hoffmann, E. M. Luks, C. P. Schnorr, A. Weber, "An O(n3 log n) deterministic and an O(n3) probabilistic isomorphism test for trivalent graphs", Proc. 23rd IEEE FOCS, pp. 118-125, 1982.	An O(n3 log n) deterministic and an O (n 3) probabilistic isomorphism test for trivalent graphs	Zvi Galil and Christof M. Hoffmann and Eugene M. Luks and Claus P. Schnorr and Andreas Weber	1982
('Current studies on permutation groups', 1959)	0	0	1	M. Hall, The Theory of Groups, Macmillan, 1959.	Current studies on permutation groups	Marshall Hall	1959
('P. McKenzie, Parallel Complexity and Permutation Groups, Univ. of Toronto, 1984.', 'CITATION ONLY')	0	0	1	P. McKenzie, Parallel Complexity and Permutation Groups, Univ. of Toronto, 1984.	The parallel complexity of the abelian permutation group membership problem	Pierre McKenzie and Stephen A. Cook	1983
('Isomorphism of k-contractible graphs. A generalization of bounded valence and bounded genus', 1983)	0	1	1	G. L. Miller, "Isomorphism of k-contractible graphs a generalization of bounded valence and bounded genus", Information and Control, vol. 56, pp. 1-20, 1983.	Isomorphism of k-contractible graphs. A generalization of bounded valence and bounded genus	Gary L. Miller	1983
('On finite presentations for groups', 1980)	0	0	1	L. L. Scott, "The Santa Crus Conference on Finite Groups", Amer. Math. Soc., pp. 319-322, 1980.	On finite presentations for groups	R. Craggs	1980
('Computational methods in the study of permutation groups††This research was supported in part by the National Science Foundation.', 1970)	0	1	1	C. C. Sims, "Computational methods in the study of permutation groups" in Computational Problems in Abstract Algebra, Pergamon Press, pp. 169-183, 1970.	Computational methods in the study of permutation groups††This research was supported in part by the National Science Foundation.	CHARLES C. SIMS	1970
('Correction to "Fuzzy-attribute graph with application to Chinese character recognition"', 1992)	0	0	1	Chan, K.P., Cheung, Y.S.: Fuzzy-attribute graph with application to chinese character recognition. IEEE Transactions on Systems, Man and Cybernetics 22, 402â€“410 (1992)	Correction to "Fuzzy-attribute graph with application to Chinese character recognition"	K.P. Chan and Y.S. Cheung	1992
('Narratives about Displacement and Stigmatization of Identities', 2017)	0	0	1	Duarte, A.R.: New heuristics and an exact integer programming formulation for an inexact graph matching problem (in Portuguese). M.Sc. Dissertation, Catholic University of Rio de Janeiro (2004)	Narratives about Displacement and Stigmatization of Identities	None	2017
('<title>Markov random fields and graphs for uncertainty management and symbolic data fusion in an urban scene interpretation</title>', 1995)	0	1	1	Moissinac, H., MaÃ®tre, H., Bloch, I.: Markov random fields and graphs for uncertainty management and symbolic data fusion in a urban scene interpretation. In: EUROPTO Conference on Image and Signal Processing for Remote Sensing, vol. 2579, pp. 298â€“309 (1995)	<title>Markov random fields and graphs for uncertainty management and symbolic data fusion in an urban scene interpretation</title>	Henri Moissinac and Henri Maitre and Isabelle Bloch	1995
("Petites valeurs propres et classe d'Euler des S1-fibrÃ©s", 2000)	0	0	1	Perchant, A.: Morphisme de graphes dâ€™attributs flous pour la reconnaissance structurelle de scÃ¨nes. Doctorate thesis, Ã‰cole Nationale SupÃ©rieure des TÃ©lÃ©communications (2000)	Petites valeurs propres et classe d'Euler des S1-fibrÃ©s	B Colbois	2000
('Graph fuzzy homomorphism interpreted as fuzzy association graphs', 'None')	0	0	1	A. Perchant, C. Boeres, I. Bloch, M. Roux, C. Ribeiro, Model-based scene recognition using graph fuzzy homomorphism solved by genetic algorithm, in: GbRâ€™99 Second International Workshop on Graph-Based Representations in Pattern Recognition, Castle of Haindorf, Austria, 1999, pp. 61â€“70.	Graph fuzzy homomorphism interpreted as fuzzy association graphs	A. Perchant and I. Bloch	None
('Fuzzy relaxation approach for inexact scene matching', 1992)	0	1	1	Ranganath, H.S., Chipman, L.J.: Fuzzy relaxaton approach for inexact scene matching. Image and Vision Computing 10, 631â€“640 (1992)	Fuzzy relaxation approach for inexact scene matching	Heggere S Ranganath and Laure J Chipman	1992
('AAFP Home Page http://www. abfp.com/aafp', 1997)	0	0	1	J. Ross Beveridge, Evaluation of face recognition algorithms, WWW Page:http://www.cs.colostate.edu/evalfacerec, 2003.	AAFP Home Page http://www. abfp.com/aafp	None	1997
('W3C Standard RDF Query Language', 2014)	0	0	1	Seaborne, A., Prudâ€™hommeaux, E.: SPARQL query language for RDF. W3C recommendation (January 2008)	W3C Standard RDF Query Language	None	2014
('Noticias y Eventos <br xmlns:m="http://www.w3.org/1998/Math/MathML" xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink"/> News and Events<br xmlns:m="http://www.w3.org/1998/Math/MathML" xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink"/> Nouvelles et Événements', 2009)	0	0	1	Heavens, V.X.: http://vx.netlux.org/	Noticias y Eventos <br xmlns:m="http://www.w3.org/1998/Math/MathML" xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink"/> News and Events<br xmlns:m="http://www.w3.org/1998/Math/MathML" xmlns:mml="http://www.w3.org/1998/Math/MathML" xmlns:xlink="http://www.w3.org/1999/xlink"/> Nouvelles et Événements	None	2009
('RDF Storage and Retrieval Systems', 2009)	0	0	1	Wilkinson, K., Sayers, C., Kuno, H., Reynolds, D.: Efficient RDF storage and retrieval in Jena2. In: Proceedings of SWDB, vol. 3, pp. 7â€“8 (2003)	RDF Storage and Retrieval Systems	Alice Hertel and Jeen Broekstra and Heiner Stuckenschmidt	2009
('Introduction to PostgreSQL', 'None')	0	0	1	PostgreSQL: http://www.postgresql.org	Introduction to PostgreSQL	None	None
('Jena-Paradise ...defy anxiety to live free! [Jena-Paradies ?der Angst entgegen, freier leben!]', 2012)	0	0	1	JenaTDB: http://jena.hpl.hp.com/wiki/TDB	Jena-Paradise ...defy anxiety to live free! [Jena-Paradies ?der Angst entgegen, freier leben!]	Jochen Gensichen	2012
('OWLIM – A Pragmatic Semantic Repository for OWL', 2005)	0	1	1	Kiryakov, A., Ognyanov, D., Manov, D.: OWLIM - a pragmatic semantic repository for OWL. In: WISE Workshops, pp. 182â€“192 (2005)	OWLIM – A Pragmatic Semantic Repository for OWL	Atanas Kiryakov and Damyan Ognyanov and Dimitar Manov	2005
('Mining One Hundred Million Creative Commons Flickr Images Dataset to Flickr Tourist Index', 2015)	0	0	1	Flickr: http://www.flickr.com	Mining One Hundred Million Creative Commons Flickr Images Dataset to Flickr Tourist Index	Tao Mao	2015
('Sesame: A Generic Architecture for Storing and Querying RDF and RDF Schema', 'None')	0	1	1	Broekstra, J., Kampman, A., van Harmelen, F.: Sesame: An architecture for storing and querying RDF data and schema information. In: Spinning the Semantic Web, pp. 197â€“222 (2003)	Sesame: A Generic Architecture for Storing and Querying RDF and RDF Schema	Jeen Broekstra and Arjohn Kampman and Frank van Harmelen	None
('Scaling RDF with Time', 2008)	0	0	1	Udrea, O., Pugliese, A., Subrahmanian, V.S.: GRIN: A graph based RDF index. In: AAAI, pp. 1465â€“1470 (2007)	Scaling RDF with Time	Andrea Pugliese and Octavian Udrea and V. S. Subrahmanian	2008
('Graph isomorphism, general remarks', 1979)	0	1	1	Miller G 1979 J. Comput. Syst. Sci. 18 128	Graph isomorphism, general remarks	Gary L. Miller	1979
('Linear Time Automorphism Algorithms for Trees, Interval Graphs, and Planar Graphs', 1981)	0	1	1	Colbourn C J and Booth K S 1981 SIAM J. Comput. 10 203	Linear Time Automorphism Algorithms for Trees, Interval Graphs, and Planar Graphs	Charles J. Colbourn and Kellogg S. Booth	1981
('A V2 algorithm for determining isomorphism of planar graphs', 1971)	0	1	1	Hopcroft J and Tarjan R 1971 J. Comput. Syst. Sci. 1 32	A V2 algorithm for determining isomorphism of planar graphs	John Hopcroft and Robert Tarjan	1971
('Luks E 1982 J. Comput. Syst. Sci. 25 42', 'CITATION ONLY')	0	1	1	Luks E 1982 J. Comput. Syst. Sci. 25 42	Isomorphism of graphs of bounded valence can be tested in polynomial time	Eugene M. Luks	1982
('Interasma', 1981)	0	0	1	Mackay B 1981 Congr. Numer. 30 45	Interasma	None	1981
('Babai L and Luks E 1983 STOC â€™83: Proc. 15th Annual ACM Symp. on Theory of computing (New York: ACM) pp 171â€“83', 'CITATION ONLY')	0	0	1	Babai L and Luks E 1983 STOC â€™83: Proc. 15th Annual ACM Symp. on Theory of computing (New York: ACM) pp 171â€“83	Canonical labeling of graphs	László Babai and Eugene M. Luks	1983
('Review of Handbook of Combinatorics (in two Volumes)', 1999)	0	0	1	Graham R, Grotschel M and Lov Â¨ asz L (ed) 1995 ` Handbook of Combinatorics vol 2 (Cambridge, MA: MITPress)	Review of Handbook of Combinatorics (in two Volumes)	William Gasarch	1999
('Molecular Electronics and Molecular Electronic Devices. Kristof Sienicki (ed.). Volume 1, CRC Press, Boca Raton, FL, 1993, ISBN 0-8493-8061-9, 249 pp., £70.00 hardback. Volume 2, CRC Press, Boca Raton, FL, 1993, ISBN 0-8493-8062-6, 274 pp., £113.50 hardback. Volume 3, CRC Press, Boca Raton, FL, 1994, ISBN 0-8493-8063-4, 260 pp., £82.00 hardback', 1994)	0	0	1	TrinajsticÂ´, N.: "Chemical graph theory" (CRC Press, Boca Raton, FL,USA, 1992)	Molecular Electronics and Molecular Electronic Devices. Kristof Sienicki (ed.). Volume 1, CRC Press, Boca Raton, FL, 1993, ISBN 0-8493-8061-9, 249 pp., £70.00 hardback. Volume 2, CRC Press, Boca Raton, FL, 1993, ISBN 0-8493-8062-6, 274 pp., £113.50 hardback. Volume 3, CRC Press, Boca Raton, FL, 1994, ISBN 0-8493-8063-4, 260 pp., £82.00 hardback	R. W. Munn	1994
('Quantum random walks: An introductory overview', 2003)	0	1	1	Kempe J 2003 Contemp. Phys. 44 307	Quantum random walks: An introductory overview	J Kempe	2003
('Controlling discrete quantum walks: coins and initial states', 2003)	0	1	1	Tregenna B, Flanagan W, Maile R and Kendon V 2003 New J. Phys. 5 83	Controlling discrete quantum walks: coins and initial states	Ben Tregenna and Will Flanagan and Rik Maile and Viv Kendon	2003
('QUANTUM WALKS AND THEIR ALGORITHMIC APPLICATIONS', 2003)	0	1	1	Ambainis A 2003 Int. J. Quantum Inform. 1 507	QUANTUM WALKS AND THEIR ALGORITHMIC APPLICATIONS	ANDRIS AMBAINIS	2003
('Quantum random-walk search algorithm', 2003)	0	1	1	Shenvi N, Kempe J and Whaley K B 2003 Phys. Rev. A 67 052307	Quantum random-walk search algorithm	Neil Shenvi and Julia Kempe and K. Birgitta Whaley	2003
('Implementing the quantum random walk', 2002)	0	1	1	Travaglione B C and Milburn G J 2002 Phys. Rev. A 65 032310	Implementing the quantum random walk	B. C. Travaglione and G. J. Milburn	2002
('Quantum Algorithms Based on Physical Processes', 2013)	0	0	1	Shiau S, Joynt R and Coppersmith S 2005 Quantum Inform. Comput. 5 492	Quantum Algorithms Based on Physical Processes	Eric Bach and Susan Coppersmith and Mark Friesen and Robert Joynt	2013
('Coined quantum walks lift the cospectrality of graphs and trees', 2009)	0	0	1	Emms D, Hancock E, Severini S and Wilson R 2006 Electron. J. Combin. 13 R34	Coined quantum walks lift the cospectrality of graphs and trees	David Emms and Simone Severini and Richard C. Wilson and Edwin R. Hancock	2009
('Structural similarity and adaptation', 1996)	0	1	1	K. Börner, E. Pippig, E. Tammer, C. Coulon, "Structural similarity and adaption" in Advances in Case-based Reasoning, Springer, vol. 1168, pp. 58-75, 1996.	Structural similarity and adaptation	Katy Börner and Eberhard Pippig and Elisabeth-Ch. Tammer and Carl-H. Coulon	1996
('H. Bunke, G. Allermann, A metric on graphs for structural pattern recognition, in: EUSIPCO (Ed.), Proceedings of Second European Signal ProcessingConference EUSIPCO, 1983, pp. 257–260.', 'CITATION ONLY')	0	0	1	H. Bunke, G. Allermann, A metric on graphs for structural pattern recognition, in: EUSIPCO (Ed.), Proceedings of Second European Signal ProcessingConference EUSIPCO, 1983, pp. 257–260.	Inexact graph matching for structural pattern recognition	H Bunke and G Allermann	1983
('H. Bunke, X. Jiang, A. Kandel, "On the minimum common supergraph of two graphs", Computing, 2000.', 'CITATION ONLY')	0	0	1	H. Bunke, X. Jiang, A. Kandel, "On the minimum common supergraph of two graphs", Computing, 2000.	Mean and maximum common subgraph of two graphs	H. Bunke and A. Kandel	2000
('UNSUPERVISED HANDWRITTEN GRAPHICAL SYMBOL LEARNING - Using Minimum Description Length Principle on Relational Graph', 2011)	0	0	1	D. Cook, L. Holder, "Substructure discovery using minimum description length and background knowledge", Journal of Artificial Intelligence Research, pp. 231-255, 1994.	UNSUPERVISED HANDWRITTEN GRAPHICAL SYMBOL LEARNING - Using Minimum Description Length Principle on Relational Graph	None	2011
('Recognition of Polymorphic Patterns in Parameterized Graphs for 3D Building Reconstruction', 1998)	0	0	1	R. Englert and R. Glanz. Towards the clustering of graphs. In Proc. 2nd IAPR-TC-15 Workshop on Graph Based Representations, pages 125â€“133, 2000.	Recognition of Polymorphic Patterns in Parameterized Graphs for 3D Building Reconstruction	R. Englert and A. B. Cremers and J. Seelmann-Eggebert	1998
('S. Gold, A. Rangarajan, "A graduate assignment algorithm for graph matching", IEEE Trans. PAMI, vol. 18, pp. 377-388, 1996.', 'CITATION ONLY')	0	1	1	S. Gold, A. Rangarajan, "A graduate assignment algorithm for graph matching", IEEE Trans. PAMI, vol. 18, pp. 377-388, 1996.	A graduated assignment algorithm for graph matching	S. Gold and A. Rangarajan	1996
('Synthesis of Representative Graphical Symbols by Computing Generalized Median Graph', 2000)	0	0	1	X. Jiang, L. Schiffmann, and H. Bunke. Computation of median shapes. In 4th Asian Conf. on Computer Vision, pages 300â€“305, Taipei, Taiwan, 2000.	Synthesis of Representative Graphical Symbols by Computing Generalized Median Graph	Xiaoyi Jiang and Andreas Münger and Horst Bunke	2000
('X. Jiang, A. Münger, H. Bunke, "Synthesis of representative symbols by computing generalized median graphs", Proc. Int. Workshop on Graphics Recognition GREC \'99, pp. 187-194, 1999.', 'CITATION ONLY')	0	1	1	X. Jiang, A. Münger, H. Bunke, "Synthesis of representative symbols by computing generalized median graphs", Proc. Int. Workshop on Graphics Recognition GREC '99, pp. 187-194, 1999.	Synthesis of Representative Graphical Symbols by Computing Generalized Median Graph	Xiaoyi Jiang and Andreas Münger and Horst Bunke	2000
('An median graphs: properties, algorithms, and applications', 2001)	0	1	1	Jiang X, MÃ¼unger A, Bunke H (2001) On median graphs: properties, algorithms, and applications. IEEE Trans Pattern Anal Mach Intell 23:1144â€“1151. doi: 10.1109/34.954604. http://dx.doi.org/10.1109/34.954604	An median graphs: properties, algorithms, and applications	None	2001
('Robust object and face recognition using a biologically plausible model', 2010)	0	0	1	T. Lourens, A biologically plausible model for corner-based object recognition from color images, University of Groningen, 1998.	Robust object and face recognition using a biologically plausible model	G. Cottrell and C. Kanan	2010
('Automatic learning and recognition of graphical symbols in engineering drawings', 1996)	0	1	1	B.T. Messmer and H. Bunke. Automatic learning and recognition ofgraphical symbols in engineering drawings. In K. Tombre R. Kasturi,editor, Graphics Recognition, Lecture Notes in Computer Science 1072,pages 123{134. Springer Verlag, 1996.	Automatic learning and recognition of graphical symbols in engineering drawings	B. T. Messmer and H. Bunke	1996
('Book review: CASE-BASED REASONING by Janet Kolodner (Morgan Kaufmann Publishers, 1993)', 1996)	0	0	1	J. Poole, "Similarity in legal case based reasoning as degree of matching in conceptual graphs", Preproceedings: First European Workshop on Case-Based Reasoning, pp. 54-58, 1993.[40]J. R. Quinlan, C4.5: Programs for Machine Learning, Morgan Kaufmann Publishers, 1993.	Book review: CASE-BASED REASONING by Janet Kolodner (Morgan Kaufmann Publishers, 1993)	John Zeleznikow	1996
('A Graph-Rewriting Visual Language for Database Programming', 1997)	0	1	1	P. Rodgers, P. King, "A graph - rewriting visual language for database programming", Journal of Visual Languages and Computing, vol. 8, pp. 641-674, 1997.	A Graph-Rewriting Visual Language for Database Programming	P.J. RODGERS and P.J.H. KING	1997
('News Video Indexing and Retrieval using Overlay Text', 2012)	0	0	1	K. Shearer, Indexing and retrieval of video using spatial reasoning techniques, Curtin University of Technology, 1998.	News Video Indexing and Retrieval using Overlay Text	Nilesh Bhojne	2012
('W. H. Tsai, ?. S. Fu, "Error-correcting isomorphisms of attributed relation graphs for pattern recognition", IEEE Trans. Syst. Man Cybern., vol. SMC-9, pp. 757-768, Dec. 1979.', 'CITATION ONLY')	0	1	1	W. H. Tsai, ?. S. Fu, "Error-correcting isomorphisms of attributed relation graphs for pattern recognition", IEEE Trans. Syst. Man Cybern., vol. SMC-9, pp. 757-768, Dec. 1979.	Error-Correcting Isomorphisms of Attributed Relational Graphs for Pattern Analysis	Wen-Hsiang Tsai and King-Sun Fu	1979
('An algorithm for finding the largest approximately common substructures of two trees', 1998)	0	1	1	J. Wang, "An algorithm for finding the largest approximately commen substructure of two trees", IEEE Trans. PAMI, vol. 20, pp. 889-895, 1998.	An algorithm for finding the largest approximately common substructures of two trees	J.T.L. Wang and B.A. Shapiro and D. Shasha and K. Zhang and K.M. Currey	1998
('D.H Ballard, C.M BrownComputer VisionPrentice-Hall, Englewoods Cliffs, NJ (1982)', 'CITATION ONLY')	0	0	1	D.H Ballard, C.M BrownComputer VisionPrentice-Hall, Englewoods Cliffs, NJ (1982)	Tonto's FriendTonto's FriendSilvermanR. E.Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 573 + xxi pp.Tonto's FriendDavisS. F.Instructor's manual: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 168 pp.Tonto's FriendSilvermanR. E.Test item file: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 169 pp. (File includes 972 questions.)Tonto's FriendWinsten-VelenL.Study guide and workbook: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 315 pp.	None	1983
('The structure-mapping engine: Algorithm and examples', 1989)	0	1	1	B. Falkenhainer, K.D. Forbus, and D. Gentner. The structure-mappingengine: Algorithms and examples. Articial Intelligence, 41:1{63,1989/90.	The structure-mapping engine: Algorithm and examples	Brian Falkenhainer and Kenneth D. Forbus and Dedre Gentner	1989
('Linguistic processing of text for a large-scale conceptual Information Retrieval system', 1994)	0	0	1	Myaeng, S. H. (1992) Conceptual graphs as a framework for text retrieval. In Eklund, P., Nagle, T. & Gerholtz, L. (eds) Current Direction.' in Conceptual Structures Research, (Ellis Horwood) (in press).	Linguistic processing of text for a large-scale conceptual Information Retrieval system	Sung H. Myaeng and Christopher Khoo and Ming Li	1994
('Myaeng . S. H. (1990) Conceptual graph matching as a plausible inferencing technique for text retrieval, Proceedings of the 5th Conceptual Structures Workshop, held in conjunction with AAAI-90, Boston, MA .', 'CITATION ONLY')	0	0	1	Myaeng . S. H. (1990) Conceptual graph matching as a plausible inferencing technique for text retrieval, Proceedings of the 5th Conceptual Structures Workshop, held in conjunction with AAAI-90, Boston, MA .	Linguistic processing of text for a large-scale conceptual Information Retrieval system	Sung H. Myaeng and Christopher Khoo and Ming Li	1994
('Conceptual Graphs, Metamodeling, and Notation of Concepts', 2000)	0	0	1	Nagle, T. E., Esch, J. W. and Mineau, G. (1990) A notation for conceptual structure graph matchers, Proceedings of the 5th Conceptual Structures Workshop, held in conjunction with AAAI-9O, Boston, MA .	Conceptual Graphs, Metamodeling, and Notation of Concepts	Olivier Gerbé and Guy W. Mineau and Rudolf K. Keller	2000
('An approach to IKBS development based on a review of Conceptual Structures: Information Processing in Mind and Machine by J. F. Sowa', 1984)	0	0	1	J. F. Sowa.: Conceptual Structures: Information Processing in Mind and Machine, Addison-Wesley. 1984.	An approach to IKBS development based on a review of Conceptual Structures: Information Processing in Mind and Machine by J. F. Sowa	Dan Diaper	1984
('Boomerang clapsticks', 2015)	0	0	1	Boomerang, http://boomerang.sourceforge.net	Boomerang clapsticks	None	2015
('metaphor and simile', 2016)	0	0	1	MetaPHOR, http://securityresponse.symantec.com/avcenter/venc/data/w32.simile.html	metaphor and simile	Michael Silk	2016
('Data structures and algorithms, by A. Aho, J. Hopcroft, and J. Ullman, Addison-Wesley, Reading, Mass., 1983, 427 pp. Price: $28.85', 1985)	0	0	1	Aho, A.V., Hopcroft, J.E., Ullman, J.D.: The design and analysis of computer algorithms. Addison Wesley, Reading (1974)	Data structures and algorithms, by A. Aho, J. Hopcroft, and J. Ullman, Addison-Wesley, Reading, Mass., 1983, 427 pp. Price: $28.85	Dan Gusfield	1985
("Virus bulletin international conference '98", 1998)	0	0	1	Chess, D.M., White, S.R.: An undetectable computer virus. In: Proceedings of Virus Bulletin Conference (September 2000)	Virus bulletin international conference '98	None	1998
('Breaking abstractions and unstructuring data structures', 'None')	0	0	1	Collberg, C., Thomborson, C., Low, D.: A taxonomy of obfuscating transformations. Technical Report 148, Department of Computer Science, University of Auckland (July 1997)	Breaking abstractions and unstructuring data structures	C. Collberg and C. Thomborson and D. Low	None
('The SNR Daily Bullettin 1397', 2003)	0	0	1	Ferrie, P., SzÃ¶r, P.: Zmist opportunities. Virus Bullettin (March 2001)	The SNR Daily Bullettin 1397	None	2003
('VFlib – a General Font Library that Supports Multiple Font Formats', 1998)	0	0	1	Foggia, P.: The VFLib graph matching library, version 2.0, http://amalfi.dis.unina.it/graph/db/vflib-2.0/	VFlib – a General Font Library that Supports Multiple Font Formats	Hirotsugu Kakugawa	1998
('Lewis\xa0 Pyenson (Editor). Elegance, Beauty, and Truth. Lafayette: University of Louisiana at Lafayette, 2001.', 2002)	0	0	1	Kapoor, A.: An approach towards disassembly of malicious binaries. Masterâ€™s thesis, University of Louisiana at Lafayette (2004)	Lewis  Pyenson (Editor). Elegance, Beauty, and Truth. Lafayette: University of Louisiana at Lafayette, 2001.	None	2002
('Detecting Kernel-Level Rootkits Through Binary Analysis', 'None')	0	0	1	Kruegel, C., Robertson, W., Valeur, F., Vigna, G.: Static disassembly of obfuscated binaries. In: Proceedings of USENIX Security 2004, San Diego, CA, pp. 255â€“270 (August 2004)	Detecting Kernel-Level Rootkits Through Binary Analysis	C. Kruegel and W. Robertson and G. Vigna	None
("USER'S MANUAL COBOL COMPILER VALIDATION SYSTEM", 1970)	0	0	1	Muchnick, S.S.: Advanced compiler design and implementation. Morgan Kaufmann Publishers Inc., San Francisco (1997)	USER'S MANUAL COBOL COMPILER VALIDATION SYSTEM	None	1970
('The Role of Viral Infections During Neurodevelopment', 2003)	0	0	1	Pearce, S.: Viral polymorphism. Sans Institute (2003)	The Role of Viral Infections During Neurodevelopment	Bradley D. Pearce	2003
('Food and Hunting Grounds : September-April', 'None')	0	0	1	SzÃ¶r, P., Ferrie, P.: Hunting for metamorphic. In: Proceedings of Virus Bulletin Conference (September 2001)	Food and Hunting Grounds : September-April	None	None
('A review of: “.Machine Intelligence 6. Edited by D. MICHIE and B. MELTZER. (Edinburgh: Edinburgh University Press, 1971.) [Pp. ix+525.] £10·00.', 1972)	0	0	1	H. G. Barrow and R. J. Popplestone. Relational descriptions in picture processing. In B. Meltzer and D. Michie, editors, Machine Intelligence. Edimburg University Press, 1971. 2417	A review of: “.Machine Intelligence 6. Edited by D. MICHIE and B. MELTZER. (Edinburgh: Edinburgh University Press, 1971.) [Pp. ix+525.] £10·00.	H. R. A TOWNSEND	1972
('H. Bunke. A relation between graph edit distance and maximum common subgraph. Pattern Recognition Letters, 18(9):689-694, 1997. 2417', 'CITATION ONLY')	0	1	1	H. Bunke. A relation between graph edit distance and maximum common subgraph. Pattern Recognition Letters, 18(9):689-694, 1997. 2417	On a relation between graph edit distance and maximum common subgraph	H. Bunke	1997
('Group-Wise Point-Set Registration Using a Novel CDF-Based Havrda-Charvát Divergence', 2009)	0	1	1	T. Chen, B. Vemuri, A. Rangarajan, and S. Eisenschenk. Group-wise point-set registration using a novel cdf-based havrda-charvÃ¡t divergence. International Journal of Computer Vision, 86(1):111-124, 2010. 2420	Group-Wise Point-Set Registration Using a Novel CDF-Based Havrda-Charvát Divergence	Ting Chen and Baba C. Vemuri and Anand Rangarajan and Stephan J. Eisenschenk	2009
('Spectral Segmentation with Multiscale Graph Decomposition', 'None')	0	0	1	Timothee Cour, Praveen Srinivasan, and Jianbo Shi, Balanced graph matching, Advances in Neural Information Processing Systems, 2007, pp. 313â€“320.	Spectral Segmentation with Multiscale Graph Decomposition	None	None
('A class of Rényi information estimators for multidimensional densities', 2008)	0	1	1	N. Leonenko, L. Pronzato, and V. Savani. A class of renyi information estimators for multidimensional densities. Annals of Statistics, 36(5):2153-2182, 2008. 2421	A class of Rényi information estimators for multidimensional densities	Nikolai Leonenko and Luc Pronzato and Vippal Savani	2008
('Nonextensive Entropic Kernels', 2008)	0	0	1	A. Martins, N. Smith, E. Xing, P. Aguiar, and M. Figueiredo. Nonextensive information theoretic kernels on measures. Journal of Machine Learning Research, 10:935-975, 2009. 2420	Nonextensive Entropic Kernels	Andre F. Martins and Mario A. Figueiredo and Pedro M. Aguiar and Noah Smith and Eric P. Xing	2008
('Point Set Registration: Coherent Point Drift', 2010)	0	1	1	A. Myronenko and X. B. Song. Point set registration: Coherentpoint drift. IEEE Trans. Pattern Anal. Mach. Intell.,32(12):2262â€“2275, 2010.	Point Set Registration: Coherent Point Drift	None	2010
('L. G. Shapiro and R. M. Haralick. Structural description and inexact matching. IEEE Trans. on Pattern Analysis and Machine Intelligence, 3:504-519, 1981. 2417', 'CITATION ONLY')	0	1	1	L. G. Shapiro and R. M. Haralick. Structural description and inexact matching. IEEE Trans. on Pattern Analysis and Machine Intelligence, 3:504-519, 1981. 2417	Structural Descriptions and Inexact Matching	Linda G. Shapiro and Robert M. Haralick	1981
('Luxburg, Anita von', 2011)	0	0	1	U. von Luxburg, A. Radl, and M. Hein. Getting lost in space: Large sample analysis of the commute distance. In Proc. of NIPS., 2010. 2422	Luxburg, Anita von	None	2011
('A mathematical analysis of the motion coherence theory', 1989)	0	1	1	A. Yuille and N. Grzywacz. A mathematical analysis of motion coherence theory. International Journal of Computer Vision, 3(2):155-175, 1989. 2419	A mathematical analysis of the motion coherence theory	Alan L. Yuille and Norberto M. Grzywacz	1989
('H. A. Almohamad and S. O. Duffuaa. A linear programmingapproach for the weighted graph matching problem. IEEETrans. Pattern Anal. Mach. Intell., 15(5):522â€“525, 1993.', 'CITATION ONLY')	0	1	1	H. A. Almohamad and S. O. Duffuaa. A linear programmingapproach for the weighted graph matching problem. IEEETrans. Pattern Anal. Mach. Intell., 15(5):522â€“525, 1993.	A linear programming approach for the weighted graph matching problem	H.A. Almohamad and S.O. Duffuaa	1993
