hash	auto_verified	verified	checked	citation	title	author	year
('U. Stelzl, U. Worm, M. Lalowski, C. Haenig, F. Brembeck, H. Goehler, M. Stroedicke, M. Zenkner, A. Schoenherr, S. Koeppen, J. Timm, S. Mintzlaff,C. Abraham, N. Bock, S. Kietzmann, A. Goedde, E. Toksz, A. Droege, S. Krobitsch, B. Korn, W. Birchmeier, H. Lehrach, E. Wanker, A human protein–protein interaction network: a resource for annotating the proteome, Cell 122 (6) (2005) 957–968.', 'CITATION ONLY')	0	1	1	U. Stelzl, U. Worm, M. Lalowski, C. Haenig, F. Brembeck, H. Goehler, M. Stroedicke, M. Zenkner, A. Schoenherr, S. Koeppen, J. Timm, S. Mintzlaff,C. Abraham, N. Bock, S. Kietzmann, A. Goedde, E. Toksz, A. Droege, S. Krobitsch, B. Korn, W. Birchmeier, H. Lehrach, E. Wanker, A human protein–protein interaction network: a resource for annotating the proteome, Cell 122 (6) (2005) 957–968.	A Human Protein-Protein Interaction Network: A Resource for Annotating the Proteome	Ulrich Stelzl and Uwe Worm and Maciej Lalowski and Christian Haenig and Felix H. Brembeck and Heike Goehler and Martin Stroedicke and Martina Zenkner and Anke Schoenherr and Susanne Koeppen and Jan Timm and Sascha Mintzlaff and Claudia Abraham and Nicole Bock and Silvia Kietzmann and Astrid Goedde and Engin Toksöz and Anja Droege and Sylvia Krobitsch and Bernhard Korn and Walter Birchmeier and Hans Lehrach and Erich E. Wanker	2005
('An Algorithm for Solving Linear Programming Problems in O(n 3 L) Operations', 1989)	0	0	1	C. C. Gonzaga, "An algorithm for solving linear programming programs in O(nL) operation" in Progress in Mathematical Programming Interior Point and Related Methods, New York:Springer-Verlag, 1988.	An Algorithm for Solving Linear Programming Problems in O(n 3 L) Operations	Clovis C. Gonzaga	1989
('Quantum search algorithm for graph isomorphism problem', 2008)	0	0	1	S. Fortin. The graph isomorphism problem. Technical Report 96-20, 1996.	Quantum search algorithm for graph isomorphism problem	A. E. Kirichkov	2008
('Object Recognition By Computer: The Role Of Geometric Constraints by W. Eric, L. Grimson, with contributions from Tomás Lazano-Pérez and Daniel P. Huttenlocher, MIT Press, Cambridge, Mass., 1990, Hard cover, xv + 512 pp. (£40.50)', 1992)	0	0	1	W. E. Grimson, Object Recognition by Computer: The Role of Geometric Constraints (MIT Press, 1991).	Object Recognition By Computer: The Role Of Geometric Constraints by W. Eric, L. Grimson, with contributions from Tomás Lazano-Pérez and Daniel P. Huttenlocher, MIT Press, Cambridge, Mass., 1990, Hard cover, xv + 512 pp. (£40.50)	Alex M. Andrew	1992
('$45 the set (cloth), 547 pp. (Vol. 1)David E. Rumelhart, James L. McClelland and the PDP Research Group, . Vol. 1: , MIT Press, New York (1986).$45 the set (cloth), 611 pp. (Vol. 2)David E. Rumelhart, James L. McClelland and the PDP Research Group, . Vol. 2: , MIT Press, Cambridge, MA (1986).', 1988)	0	0	1	JC McClelland, DE Rumelhart Parallel Distributed Processing, MIT Press, Cambridge, MA (1986)	$45 the set (cloth), 547 pp. (Vol. 1)David E. Rumelhart, James L. McClelland and the PDP Research Group, . Vol. 1: , MIT Press, New York (1986).$45 the set (cloth), 611 pp. (Vol. 2)David E. Rumelhart, James L. McClelland and the PDP Research Group, . Vol. 2: , MIT Press, Cambridge, MA (1986).	D STORK	1988
('Invariant visual object recognition learning', 2016)	0	0	1	N Ansari, EJ Delp Fast Learning and Invariant Object Recognition, Wiley, New York (1992)	Invariant visual object recognition learning	Edmund T. Rolls	2016
('Book Review: Pattern Recognition: statistical, structural and neural approachesPattern Recognition: statistical, structural and neural approaches: SCHALKOFFR. J.(J. Wiley, 1992, 360 pp., £14.95 paperback, £50 hardback)', 1992)	0	0	1	R. Schalkoff Pattern Recognition: Statistical, Structural and Neural Approaches Wiley, New York (1992)	Book Review: Pattern Recognition: statistical, structural and neural approachesPattern Recognition: statistical, structural and neural approaches: SCHALKOFFR. J.(J. Wiley, 1992, 360 pp., £14.95 paperback, £50 hardback)	Hamid Bolouri	1992
('Pattern classification and scene analysisRicharf O. Duda and Peter E. Hart. Wiley, New York, 1973, 482 pages, $22.50', 1973)	0	0	1	RO Duda, PE Hart Pattern Classification and Scene Analysis, Wiley, Chichester (1973)	Pattern classification and scene analysisRicharf O. Duda and Peter E. Hart. Wiley, New York, 1973, 482 pages, $22.50	None	1973
('R SchalkoffPattern Recognition: Statistical, Structural and Neural Approaches, Wiley, New York (1992)', 'CITATION ONLY')	0	0	1	R SchalkoffPattern Recognition: Statistical, Structural and Neural Approaches, Wiley, New York (1992)	Book Review: Pattern Recognition: statistical, structural and neural approachesPattern Recognition: statistical, structural and neural approaches: SCHALKOFFR. J.(J. Wiley, 1992, 360 pp., £14.95 paperback, £50 hardback)	Hamid Bolouri	1992
('Suboptimum solutions obtained by the Hopfield-Tank neural network algorithm', 1991)	0	0	1	Hop?eld, J. J., & Tank, D. W. (1985). “Neural” computation of decisions in optimization problems. Biol. Cybern., 52, 141–152.	Suboptimum solutions obtained by the Hopfield-Tank neural network algorithm	D. Kunz	1991
('RC Bolles, P Horaud 3DPO: The three dimensional part orientation system Int. J. Robotic Res., Vol 5 (No 3) (1986), pp. 3-26', 'CITATION ONLY')	0	1	1	RC Bolles, P Horaud 3DPO: The three dimensional part orientation system Int. J. Robotic Res., Vol 5 (No 3) (1986), pp. 3-26	3DPO: A Three- Dimensional Part Orientation System	Robert C. Bolles and Patrice Horaud	1986
('TJ Fan, G Medioni, R Nevatia Recognising 3-D objects using surface descriptions IEEE Trans. PAMI, Vol 11 (No 11) (1989), pp. 1149-1157', 'CITATION ONLY')	0	1	1	TJ Fan, G Medioni, R Nevatia Recognising 3-D objects using surface descriptions IEEE Trans. PAMI, Vol 11 (No 11) (1989), pp. 1149-1157	Recognizing 3-D objects using surface descriptions	T.-J. Fan and G. Medioni and R. Nevatia	1989
('PJ Flynn, AK Jain BONSAI: 3D object recognition using constraint search IEEE Trans. PAMI, Vol 13 (No 10) (1991), pp. 1066-1075', 'CITATION ONLY')	0	1	1	PJ Flynn, AK Jain BONSAI: 3D object recognition using constraint search IEEE Trans. PAMI, Vol 13 (No 10) (1991), pp. 1066-1075	BONSAI: 3D object recognition using constrained search	P.J. Flynn and A.K. Jain	1991
('PN Suganthan, EK Teoh, DP Mital Programming of Hopfield network for object recognition Proc. SMC Conf., Vol 3 (1993), pp. 114-119', 'CITATION ONLY')	0	1	1	PN Suganthan, EK Teoh, DP Mital Programming of Hopfield network for object recognition Proc. SMC Conf., Vol 3 (1993), pp. 114-119	Programming Hopfield network for object recognition	P.N. Suganthan and E.K. Teoh and D.P. Mital	None
('RA Hummel, SW ZuckerOn the foundation of relaxation labeling processesIEEE Trans. PAMI, Vol 5 (No 3) (1983), pp. 267-287', 'CITATION ONLY')	0	1	1	RA Hummel, SW ZuckerOn the foundation of relaxation labeling processesIEEE Trans. PAMI, Vol 5 (No 3) (1983), pp. 267-287	On the Foundations of Relaxation Labeling Processes	Robert A. Hummel and Steven W. Zucker	1983
('JJ HopfieldNeurons with graded response have collective computational properties like those of two-stage neuronsProc. Nat. Acad. Sci., Vol 81 (1984), pp. 3088-3092', 'CITATION ONLY')	0	1	1	JJ HopfieldNeurons with graded response have collective computational properties like those of two-stage neuronsProc. Nat. Acad. Sci., Vol 81 (1984), pp. 3088-3092	Neurons with graded response have collective computational properties like those of two-state neurons.	J. J. Hopfield	1984
('DW Tank, JJ Hopfield Simple neural optimization networks: An A/D converter, signal decision circuit, and a linear programming circuit IEEE Trans. Circ. Syst., Vol 33 (No 5) (1986), pp. 533-541', 'CITATION ONLY')	0	1	1	DW Tank, JJ Hopfield Simple neural optimization networks: An A/D converter, signal decision circuit, and a linear programming circuit IEEE Trans. Circ. Syst., Vol 33 (No 5) (1986), pp. 533-541	Simple 'neural' optimization networks: An A/D converter, signal decision circuit, and a linear programming circuit	D. Tank and J. Hopfield	1986
('V Srinivasan, YK Han, SH Ong Image reconstruction by a Hopfield network Image & Vision Comput., Vol 11 (No 5) (1993), pp. 278-282', 'CITATION ONLY')	0	1	1	V Srinivasan, YK Han, SH Ong Image reconstruction by a Hopfield network Image & Vision Comput., Vol 11 (No 5) (1993), pp. 278-282	Image reconstruction by a Hopfield neural network	V Srinivasan and YK Han and SH Ong	1993
('A Blake, A Zisserman Visual Reconstruction, MIT Press, Cambridge, MA (1987)', 'CITATION ONLY')	0	0	1	A Blake, A Zisserman Visual Reconstruction, MIT Press, Cambridge, MA (1987)	Visual Reconstruction by Andrew Blake and Andrew Zisserman, The MIT Press, Massachusetts, USA, 1987 (£22.50)	Tony Owen	1988
('S Geman, D GemanStochastic relaxation, Gibbs distribution and the Bayesian restoration of imagesIEEE Trans. PAMI., Vol 6 (No 6) (1984), pp. 721-741', 'CITATION ONLY')	0	1	1	S Geman, D GemanStochastic relaxation, Gibbs distribution and the Bayesian restoration of imagesIEEE Trans. PAMI., Vol 6 (No 6) (1984), pp. 721-741	Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images	Stuart Geman and Donald Geman	1984
('CL Huang Parallel image segmentation using a modified Hopfield model Pall. Recogn. Lett., Vol 13 (1992), pp. 345-353', 'CITATION ONLY')	0	1	1	CL Huang Parallel image segmentation using a modified Hopfield model Pall. Recogn. Lett., Vol 13 (1992), pp. 345-353	Parallel image segmentation using modified Hopfield model	Chung-Lin Huang	1992
('SZ Li Invariant surface segmentation through energy function minimization with discontinuities Int. J. Comput. Vision, Vol 5 (No 2) (1990), pp. 161-194', 'CITATION ONLY')	0	1	1	SZ Li Invariant surface segmentation through energy function minimization with discontinuities Int. J. Comput. Vision, Vol 5 (No 2) (1990), pp. 161-194	Invariant surface segmentation through energy minimization with discontinuities	Stan Z. Li	1990
('L Xu, E Oja Randomised Hough transform (RHT): Basic mechanisms, algorithms and computational complexity CVGIP: Image Understanding, Vol 57 (No 2) (1993), pp. 131-154', 'CITATION ONLY')	0	1	1	L Xu, E Oja Randomised Hough transform (RHT): Basic mechanisms, algorithms and computational complexity CVGIP: Image Understanding, Vol 57 (No 2) (1993), pp. 131-154	Randomized Hough Transform (RHT): Basic Mechanisms, Algorithms, and Computational Complexities	L. Xu and E. Oja	1993
('Information Technology For Balanced Manufacturing Systems', 2006)	0	0	1	T. Cour, P. Srinivasan, J. Shi, "Balanced Graph Matching", Proc. Advances in Neural Information Processing Systems (NIPS), pp. 313-320, 2006.	Information Technology For Balanced Manufacturing Systems	None	2006
('4. Algebraic Multigrid', 1987)	0	1	1	Ruge JW, StÃ¼ben K. Algebraic multigrid. In Multigrid Methods, McCormick SF (eds). Frontiers in applied mathematics, Society of Industrial and Applied Mathematics: Philadelphia, 1987;73â€“130.	4. Algebraic Multigrid	J. W. Ruge and K. Stüben	1987
('Karypis G, Kumar V. Parallel multilevel kâ€\\x90way partitioning scheme for irregular graphs. Technical Report TR 96â€\\x90036, Department of Computer Science, University of Minnesota, 1996. Also available at http://www.cs.umn.edu/ karypis [14 August 1999].[29]Ruge JW, StÃ¼ben K. Algebraic multigrid. In Multigrid Methods, McCormick SF (eds). Frontiers in applied mathematics, Society of Industrial and Applied Mathematics: Philadelphia, 1987;73â€“130.', 'CITATION ONLY')	0	0	1	Karypis G, Kumar V. Parallel multilevel kâ€\x90way partitioning scheme for irregular graphs. Technical Report TR 96â€\x90036, Department of Computer Science, University of Minnesota, 1996. Also available at http://www.cs.umn.edu/ karypis [14 August 1999].[29]Ruge JW, StÃ¼ben K. Algebraic multigrid. In Multigrid Methods, McCormick SF (eds). Frontiers in applied mathematics, Society of Industrial and Applied Mathematics: Philadelphia, 1987;73â€“130.	Parallel multilevel k-way partitioning scheme for irregular graphs	George Karypis and Vipin Kumar	1996
('Downwind Gauß-Seidel Smoothing for Convection Dominated Problems', 1997)	0	1	1	Hackbusch W, Probst T. Downwind GauÃŸâ€\x90Seidel smoothing for convection dominated problems. Numerical Linear Algebra with Applications 1997; 4(2):85â€“102. Wiley Online Library	Downwind Gauß-Seidel Smoothing for Convection Dominated Problems	Wolfgang Hackbusch and Thomas Probst	1997
('M. You, A. K. C. Wong, "An algorithm for graph optimal isomorphism", ?roc. ICPR, pp. 316-319, 1984.', 'CITATION ONLY')	0	0	1	M. You, A. K. C. Wong, "An algorithm for graph optimal isomorphism", ?roc. ICPR, pp. 316-319, 1984.	Quantum search algorithm for graph isomorphism problem	A. E. Kirichkov	2008
('Mark the Manny: Een doorbraak', 2016)	0	0	1	Ettinger, Mark, Peter HÃ¸yer and Manny Knill, â€œHidden subgroupsstates are almost orthogonalâ€\x9d. In preparation, January 1999.	Mark the Manny: Een doorbraak	None	2016
('Ettinger, Mark, Peter HÃ¸yer and Manny Knill, â€œHidden subgroups states are almost orthogonalâ€\\x9d. In preparation, January 1999.', 'CITATION ONLY')	0	0	1	Ettinger, Mark, Peter HÃ¸yer and Manny Knill, â€œHidden subgroups states are almost orthogonalâ€\x9d. In preparation, January 1999.	On Quantum Algorithms for Noncommutative Hidden Subgroups	Mark Ettinger and Peter Høyer	1999
('Mathon, Rudolf, â€œA note on the graph isomorphism problemâ€\\x9d, InformationProcessing Letters, Vol. 8, March 1979, pp. 131 â€“ 132.', 'CITATION ONLY')	0	1	1	Mathon, Rudolf, â€œA note on the graph isomorphism problemâ€\x9d, InformationProcessing Letters, Vol. 8, March 1979, pp. 131 â€“ 132.	A note on the graph isomorphism counting problem	Rudolf Mathon	1979
('Rotteler Â¨ , Martin and Thomas Beth, â€œPolynomial-time solution tothe hidden subgroup problem for a class of non-Abelian groups.â€\\x9d Availableon Los Alamos e-Print archive (http://xxx.lanl.gov) as quantph/9812070(December 24, 1998).', 'CITATION ONLY')	0	0	1	Rotteler Â¨ , Martin and Thomas Beth, â€œPolynomial-time solution tothe hidden subgroup problem for a class of non-Abelian groups.â€\x9d Availableon Los Alamos e-Print archive (http://xxx.lanl.gov) as quantph/9812070(December 24, 1998).	Abelian Hidden Subgroup Problem, 1995; Kitaev	None	None
('H Ballard, M Brown Computer Vision, Prentice Hall, Englewood Cliffs, NJ (1982)', 'CITATION ONLY')	0	0	1	H Ballard, M Brown Computer Vision, Prentice Hall, Englewood Cliffs, NJ (1982)	Tonto's FriendTonto's FriendSilvermanR. E.Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 573 + xxi pp.Tonto's FriendDavisS. F.Instructor's manual: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 168 pp.Tonto's FriendSilvermanR. E.Test item file: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 169 pp. (File includes 972 questions.)Tonto's FriendWinsten-VelenL.Study guide and workbook: Psychology (4th Ed.). Englewood Cliffs, NJ: Prentice-Hall, 1982, 315 pp.	None	1983
('Independence and Bayesian Updating Methods* *Reprinted from the Artificial Intelligence Journal with permission of the publisher, North Holland, Amsterdam.', 1986)	0	0	1	S Kakumoto, et al. Logic diagram recognition by divide and synthesize method J.C Latombe (Ed.), Artificial Intelligence and Pattern Recognition in CAD, North-Holland, Amsterdam (1978), pp. 457-576	Independence and Bayesian Updating Methods* *Reprinted from the Artificial Intelligence Journal with permission of the publisher, North Holland, Amsterdam.	Rodney W. Johnson	1986
('COMPUTER AIDED ANALYSIS OF SCHEMATIC DIAGRAMS', 1986)	0	0	1	F.C.A Groen, R.J van Munster Topology based analysis of schematic diagrams Proc. 7th Conf. Pattern Recognition, July 30â€“Aug 2, 1984, Montreal (1984)	COMPUTER AIDED ANALYSIS OF SCHEMATIC DIAGRAMS	Frans C.A. Groen and Ruud J. van Munster	1986
('<title>Segmentation And Compression Of Gray Level Images Using Piecewise Gradient Models</title>', 1983)	0	0	1	R Bracho, J Schlag, A.C Sanderson Popeye: A gray-level vision system for robotics applications Technical Report CMU-RI-TR-83-6, Robotics Institute, CMU (1983)	<title>Segmentation And Compression Of Gray Level Images Using Piecewise Gradient Models</title>	A. C. Sanderson and R. Bracho	1983
('H Bunke Experience with several methods for the analysis of schematic diagrams Proc. 6th Conf. Pattern Recognition, Oct. 19â€“22, 1982 (1982), pp. 710-712', 'CITATION ONLY')	0	0	1	H Bunke Experience with several methods for the analysis of schematic diagrams Proc. 6th Conf. Pattern Recognition, Oct. 19â€“22, 1982 (1982), pp. 710-712	Automatic Interpretation of Lines and Text in Circuit Diagrams	Horst Bunke	1982
('Algorithm to Draw Automatic Combinatoric Electrical Schematics', 2017)	0	0	1	R.L.T Cederberg Automatic interpretation of hand drawn electrical schematics Proc. Conf. on CAD and Manufacture of Electronic Components, Circuits and Systems (1979), pp. 118-122	Algorithm to Draw Automatic Combinatoric Electrical Schematics	Adam Jaroš	2017
