hash	citation	verified	checked	new_hash	author	title	year	URL	DOI
('A one-layer recurrent neural network for constrained nonsmooth invex optimization', 2014)	B. Amos and J. Z. Kolter. Optnet: Differentiable optimization as a layer in neural networks. CoRR, abs/1703.00443, 2017.	0	0		Guocheng Li and Zheng Yan and Jun Wang	A one-layer recurrent neural network for constrained nonsmooth invex optimization	2014	http://dx.doi.org/10.1016/j.neunet.2013.11.007	10.1016/j.neunet.2013.11.007
('P. J. Besl and N. D. McKay. Method for registration of 3-d shapes. In Robotics-DL tentative, pages 586â€“606. International Society for Optics and Photonics, 1992.', 'CITATION ONLY')	P. J. Besl and N. D. McKay. Method for registration of 3-d shapes. In Robotics-DL tentative, pages 586â€“606. International Society for Optics and Photonics, 1992.	0	0		Paul J. Besl and Neil D. McKay	<title>Method for registration of 3-D shapes</title>	1992	http://dx.doi.org/10.1117/12.57955	10.1117/12.57955
('Weakly Supervised 3D Reconstruction with Adversarial Constraint', 2017)	C. B. Choy, J. Gwak, S. Savarese, and M. Chandraker. Universal correspondence network. In Advances in Neural Information Processing Systems, pages 2406â€“2414, 2016.	0	0		JunYoung Gwak and Christopher B. Choy and Manmohan Chandraker and Animesh Garg and Silvio Savarese	Weakly Supervised 3D Reconstruction with Adversarial Constraint	2017	http://dx.doi.org/10.1109/3dv.2017.00038	10.1109/3dv.2017.00038
('Spectral Segmentation with Multiscale Graph Decomposition', None)	T. Cour, P. Srinivasan, and J. Shi. Balanced graph matching. In NIPS, volume 2, page 6, 2006.	0	0		None	Spectral Segmentation with Multiscale Graph Decomposition	None	http://dx.doi.org/10.1109/cvpr.2005.332	10.1109/cvpr.2005.332
('The Pascal Visual Object Classes (VOC) Challenge', 2009)	M. Everingham and J. Winn. The pascal visual object classes challenge 2011 (voc2011) development kit. Pattern Analysis, Statistical Modelling and Computational Learning, Tech. Rep, 2011.	0	0		Mark Everingham and Luc Van Gool and Christopher K. I. Williams and John Winn and Andrew Zisserman	The Pascal Visual Object Classes (VOC) Challenge	2009	http://dx.doi.org/10.1007/s11263-009-0275-4	10.1007/s11263-009-0275-4
('Matrix Backpropagation for Deep Networks with Structured Layers', 2015)	C. Ionescu, O. Vantzos, and C. Sminchisescu. Training deep networks with structured layers by matrix backpropagation. arXiv preprint arXiv:1509.07838, 2015.	0	0		Catalin Ionescu and Orestis Vantzos and Cristian Sminchisescu	Matrix Backpropagation for Deep Networks with Structured Layers	2015	http://dx.doi.org/10.1109/iccv.2015.339	10.1109/iccv.2015.339
('How Do information Processing Systems Deal With Conflicting Information?', 2014)	J. L. Long, N. Zhang, and T. Darrell. Do convnets learn correspondence? In Advances in Neural Information Processing Systems, pages 1601â€“1609, 2014.	0	0		Daniel Little	How Do information Processing Systems Deal With Conflicting Information?	2014	http://dx.doi.org/10.1037/e528942014-098	10.1037/e528942014-098
('Convolutional Neural Network Architecture for Geometric Matching', 2017)	I. Rocco, R. Arandjelovic, and J. Sivic. Convolutional neural Â´ network architecture for geometric matching. arXiv preprint arXiv:1703.05593, 2017.	0	0		Ignacio Rocco and Relja Arandjelovic and Josef Sivic	Convolutional Neural Network Architecture for Geometric Matching	2017	http://dx.doi.org/10.1109/cvpr.2017.12	10.1109/cvpr.2017.12
('K. Simonyan and A. Zisserman. Very deep convolutional networks for large-scale image recognition. arXiv preprint arXiv:1409.1556, 2014.', 'CITATION ONLY')	K. Simonyan and A. Zisserman. Very deep convolutional networks for large-scale image recognition. arXiv preprint arXiv:1409.1556, 2014.	0	0		None	Preprint repository arXiv achieves milestone million uploads	2014	http://dx.doi.org/10.1063/pt.5.028530	10.1063/pt.5.028530
('Multiclass recognition and part localization with humans in the loop', 2011)	C. Wah, S. Branson, P. Welinder, P. Perona, and S. Belongie. The Caltech-UCSD Birds-200-2011 Dataset. Technical Report CNS-TR-2011-001, California Institute of Technology, 2011.	0	0		Catherine Wah and Steve Branson and Pietro Perona and Serge Belongie	Multiclass recognition and part localization with humans in the loop	2011	http://dx.doi.org/10.1109/iccv.2011.6126539	10.1109/iccv.2011.6126539
('DAISY Filter Flow: A Generalized Discrete Approach to Dense Correspondences', 2014)	H. Yang, W. Lin, and J. Lu. Daisy filter flow: A generalized approach to discrete dense correspondences. CVPR, 2014.	0	0		Hongsheng Yang and Wen-Yan Lin and Jiangbo Lu	DAISY Filter Flow: A Generalized Discrete Approach to Dense Correspondences	2014	http://dx.doi.org/10.1109/cvpr.2014.435	10.1109/cvpr.2014.435
('Harmonic mixtures', 2005)	Zhu, X., Ghahramani, Z., Lafferty, J.D.: Semi-supervised learning using gaussian fields and harmonic functions. In: 20th International Conference on Machine Learning, Washington DC, USA, pp. 912â€“919 (2003)	0	0		Xiaojin Zhu and John Lafferty	Harmonic mixtures	2005	http://dx.doi.org/10.1145/1102351.1102484	10.1145/1102351.1102484
('Discriminant Locality Preserving Projections Based on L1-Norm Maximization', 2014)	He, X., Niyogi, P.: Locality preserving projections. Adv. Neural Inf. Proc. Syst. 2(5), 153â€“160 (2004)	0	0		Fujin Zhong and Jiashu Zhang and Defang Li	Discriminant Locality Preserving Projections Based on L1-Norm Maximization	2014	http://dx.doi.org/10.1109/tnnls.2014.2303798	10.1109/tnnls.2014.2303798
('Brand, M.: Continuous nonlinear dimensionality reduction by kernel eigenmaps. In: International Joint Conference on Artificial Intelligence (IJCAI), pp. 547â€“554. ACM, Acapulco (2010)', 'CITATION ONLY')	Brand, M.: Continuous nonlinear dimensionality reduction by kernel eigenmaps. In: International Joint Conference on Artificial Intelligence (IJCAI), pp. 547â€“554. ACM, Acapulco (2010)	0	0		None	The International Joint Conference on Artificial Intelligence (IJCAI)	1972	http://dx.doi.org/10.1016/0004-3702(72)90052-5	10.1016/0004-3702(72)90052-5
('Learning large margin classifiers locally and globally', 2004)	Kong, D., Ding, C.H.Q., Huang, H., Nie, F.: An iterative locally linear embedding algorithm. In: 29th International Conference on Machine Learning (ICML), Edinburgh, Scotland, UK (2010)	0	0		Kaizhu Huang and Haiqin Yang and Irwin King and Michael R. Lyu	Learning large margin classifiers locally and globally	2004	http://dx.doi.org/10.1145/1015330.1015365	10.1145/1015330.1015365
('Real-time 100 object recognition system', None)	Nene, S.A., Nayar, S.K., Murase, H.: Columbia object image library (coil-20). Technical report CUCS-005-96, Location (1996)	0	0		S.K. Nayar and S.A. Nene and H. Murase	Real-time 100 object recognition system	None	http://dx.doi.org/10.1109/robot.1996.506510	10.1109/robot.1996.506510
('LANL Safeguards and Security Assurance Program. Revision 6', 1995)	Hagberg, A., Swart, P., S Chult, D.: Exploring network structure, dynamics, and function using networkx. Tech. rep., Los Alamos National Lab.(LANL), Los Alamos, NM (United States) (2008)	0	0		None	LANL Safeguards and Security Assurance Program. Revision 6	1995	http://dx.doi.org/10.2172/425288	10.2172/425288
('Big data machine learning using apache spark MLlib', 2017)	Meng, X., Bradley, J., Yavuz, B., Sparks, E., Venkataraman, S., Liu, D., Freeman, J., Tsai, D., Amde, M., Owen, S., et al.: Mllib: Machine learning in apache spark. The Journal of Machine Learning Research 17(1), 1235â€“1241 (2016)	0	0		Mehdi Assefi and Ehsun Behravesh and Guangchi Liu and Ahmad P. Tafti	Big data machine learning using apache spark MLlib	2017	http://dx.doi.org/10.1109/bigdata.2017.8258338	10.1109/bigdata.2017.8258338
('Advanced Analytics-Technology and Tools: MapReduce and Hadoop', 2015)	Zikopoulos, P., Eaton, C., et al.: Understanding big data: Analytics for enterprise class hadoop and streaming data. McGraw-Hill Osborne Media (2011)	0	0		None	Advanced Analytics-Technology and Tools: MapReduce and Hadoop	2015	http://dx.doi.org/10.1002/9781119183686.ch10	10.1002/9781119183686.ch10
('Persistent Data-only Malware: Function Hooks without Code', 2014)	Sharif, M., et al.: Impeding malware analysis using conditional code obfuscation. In: Network and Distributed System Security Symposium (2008)	0	0		Sebastian Vogl and Jonas Pfoh and Thomas Kittel and Claudia Eckert	Persistent Data-only Malware: Function Hooks without Code	2014	http://dx.doi.org/10.14722/ndss.2014.23019	10.14722/ndss.2014.23019
('PsybOt malware: A step-by-step decompilation case study', 2013)	Durfina, L., Kroustek, J., Zemek, P.: Psyb0t malware: a step-by-step decompilationâ€”case study. In: Working Conference on Reverse Engineering (WCRE), pp. 449â€“456. IEEE Computer Society (2013)	0	0		Lukas Durfina and Jakub Kroustek and Petr Zemek	PsybOt malware: A step-by-step decompilation case study	2013	http://dx.doi.org/10.1109/wcre.2013.6671321	10.1109/wcre.2013.6671321
('Performance evaluation of the VF graph matching algorithm', None)	Cordella, L.P., Foggia, P., Sansone, C., Vento, M.: An improved algorithm for matching large graphs. In: 3rd International Workshop on Graph-based Representations, Italy (2001)	0	0		L.P. Cordella and P. Foggia and C. Sansone and M. Vento	Performance evaluation of the VF graph matching algorithm	None	http://dx.doi.org/10.1109/iciap.1999.797762	10.1109/iciap.1999.797762
('Cordella, L.P., Foggia, P., Sansone, C., Vento, M.: Evaluating performance of the VF graph matching algorithm. In: Proceedings of the 10th International Conference on Image Analysis and Processing, pp. 1172â€“1177. IEEE Computer Society Press (1999)', 'CITATION ONLY')	Cordella, L.P., Foggia, P., Sansone, C., Vento, M.: Evaluating performance of the VF graph matching algorithm. In: Proceedings of the 10th International Conference on Image Analysis and Processing, pp. 1172â€“1177. IEEE Computer Society Press (1999)	0	0		L.P. Cordella and P. Foggia and C. Sansone and M. Vento	Performance evaluation of the VF graph matching algorithm	None	http://dx.doi.org/10.1109/iciap.1999.797762	10.1109/iciap.1999.797762
('Graph Isomorphism, 1980; McKay', None)	McKay, B.D.: Practical graph isomorphism. Congressus Numerantium 30, 45â€“87 (1981)	0	0		None	Graph Isomorphism, 1980; McKay	None	http://dx.doi.org/10.1007/springerreference_57691	10.1007/springerreference_57691
('Detection of control flow errors in directed graphs', 2017)	Gold, R.: Reductions of control flow graphs. Int. J. Comput., Electr. Autom. Control Inf. Eng. 8(3), (2014)	0	0		Robert Gold	Detection of control flow errors in directed graphs	2017	http://dx.doi.org/10.1063/1.4992702	10.1063/1.4992702
('L.P. Cordella, P. Foggia, C. Sansone, M. Vento. An improved algorithm for matching large graphs. 3rd IAPR-TC15 Workshop on GBR (2001), pp. 149â€“159', 'CITATION ONLY')	L.P. Cordella, P. Foggia, C. Sansone, M. Vento. An improved algorithm for matching large graphs. 3rd IAPR-TC15 Workshop on GBR (2001), pp. 149â€“159	0	0		L.P. Cordella and P. Foggia and C. Sansone and M. Vento	A (sub)graph isomorphism algorithm for matching large graphs	2004	http://dx.doi.org/10.1109/tpami.2004.75	10.1109/tpami.2004.75
('P. Foggia, G. Percannella, M. Vento. Graph Matching and Learning in Pattern Recognition on the last ten years. Int J Pattern Recogn, 28 (1) (2014)', 'CITATION ONLY')	P. Foggia, G. Percannella, M. Vento. Graph Matching and Learning in Pattern Recognition on the last ten years. Int J Pattern Recogn, 28 (1) (2014)	0	0		PASQUALE FOGGIA and GENNARO PERCANNELLA and MARIO VENTO	GRAPH MATCHING AND LEARNING IN PATTERN RECOGNITION IN THE LAST 10 YEARS	2014	http://dx.doi.org/10.1142/s0218001414500013	10.1142/s0218001414500013
('Fractional Flow Reserve Measurement by Computed Tomography: An Alternative to the Stress Test', 2016)	D.E. Knuth. The Stanford GraphBase: A Platform for Combinatorial Computing. ACM, New York, NY, USA (1993)	0	0		None	Fractional Flow Reserve Measurement by Computed Tomography: An Alternative to the Stress Test	2016	http://dx.doi.org/10.15420/icr.2016:1:2	10.15420/icr.2016:1:2
('Solnon, Daniel', 2011)	C. Solnon, Solnon datasets, 2017, (http://liris.cnrs.fr/csolnon/SIP.html).	0	0		None	Solnon, Daniel	2011	http://dx.doi.org/10.1093/benz/9780199773787.article.b00171942	10.1093/benz/9780199773787.article.b00171942
('Tomás y Valiente a destiempo', None)	G. Valiente, Larrosa valiente dataset, 2017, (http://www.cs.upc.edu/~valiente/research.html).	0	0		Jesús Vallejo	Tomás y Valiente a destiempo	None	http://dx.doi.org/10.2307/j.ctt1hj9wfw.7	10.2307/j.ctt1hj9wfw.7
('Temporal–spatial reach parameters derived from inertial sensors: Comparison to 3D marker-based motion capture', 2017)	K. Cahill-Rowley, J. Rose Temporalâ€“spatial reach parameters derived from inertial sensors: Comparison to 3d marker-based motion capture Journal of biomechanics, 52 (2017), pp. 11â€“16 https://doi.org/10.1016/j.jbiomech.2016.10.031	0	0		Katelyn Cahill-Rowley and Jessica Rose	Temporal–spatial reach parameters derived from inertial sensors: Comparison to 3D marker-based motion capture	2017	http://dx.doi.org/10.1016/j.jbiomech.2016.10.031	10.1016/j.jbiomech.2016.10.031
('A Unified Framework for Multi-Modal Isolated Gesture Recognition', 2018)	Duan J, Zhou S, Wan J, Guo X, Li SZ (2016) Multi-modality fusion based on consensus-voting and 3d convolution for isolated gesture recognition. arXiv:1611.06689	0	0		Jiali Duan and Jun Wan and Shuai Zhou and Xiaoyuan Guo and Stan Z. Li	A Unified Framework for Multi-Modal Isolated Gesture Recognition	2018	http://dx.doi.org/10.1145/3131343	10.1145/3131343
('Feature learning based on SAE–PCA network for human gesture recognition in RGBD images', 2015)	S.-Z. Li, B. Yu, W. Wu, S.-Z. Su, R.-R. Ji Feature learning based on sae-pca network for human gesture recognition in rgbd images Neurocomputing, 151 (2015), pp. 565â€“573 https://doi.org/10.1016/j.neucom.2014.06.086	0	0		Shao-Zi Li and Bin Yu and Wei Wu and Song-Zhi Su and Rong-Rong Ji	Feature learning based on SAE–PCA network for human gesture recognition in RGBD images	2015	http://dx.doi.org/10.1016/j.neucom.2014.06.086	10.1016/j.neucom.2014.06.086
('Learning structures of interval-based Bayesian networks in probabilistic generative model for human complex activity recognition', 2018)	Liu L, Cheng L, Liu Y, Jia Y, Rosenblum DS (2016) Recognizing complex activities by a probabilistic interval-based model. In: AAAI, vol 30, pp 1266â€“1272	0	0		Li Liu and Shu Wang and Bin Hu and Qingyu Qiong and Junhao Wen and David S. Rosenblum	Learning structures of interval-based Bayesian networks in probabilistic generative model for human complex activity recognition	2018	http://dx.doi.org/10.1016/j.patcog.2018.04.022	10.1016/j.patcog.2018.04.022
('Liu Y, Nie L, Han L, Zhang L, Rosenblum DS (2015) Action2activity: recognizing complex activities from sensor data. In: IJCAI, vol 2015, pp 1617â€“1623', 'CITATION ONLY')	Liu Y, Nie L, Han L, Zhang L, Rosenblum DS (2015) Action2activity: recognizing complex activities from sensor data. In: IJCAI, vol 2015, pp 1617â€“1623	0	0		Ye Liu and Liqiang Nie and Li Liu and David S. Rosenblum	From action to activity: Sensor-based activity recognition	2016	http://dx.doi.org/10.1016/j.neucom.2015.08.096	10.1016/j.neucom.2015.08.096
('Spatio-temporal and kinematic gait analysis in patients with Frontotemporal dementia and Alzheimer’s disease through 3D motion capture', 2017)	R. Rucco, V. Agosti, F. Jacini, P. Sorrentino, P. Varriale, M. De Stefano, G. Milan, P. Montella, G. Sorrentino Spatio-temporal and kinematic gait analysis in patients with frontotemporal dementia and alzheimer?s disease through 3d motion capture Gait & posture, 52 (2017), pp. 312â€“317 https://doi.org/10.1016/j.gaitpost.2016.12.021	0	0		Rosaria Rucco and Valeria Agosti and Francesca Jacini and Pierpaolo Sorrentino and Pasquale Varriale and Manuela De Stefano and Graziella Milan and Patrizia Montella and Giuseppe Sorrentino	Spatio-temporal and kinematic gait analysis in patients with Frontotemporal dementia and Alzheimer’s disease through 3D motion capture	2017	http://dx.doi.org/10.1016/j.gaitpost.2016.12.021	10.1016/j.gaitpost.2016.12.021
('Skeleton-based dynamic hand gesture recognition using 3D depth data', 2018)	Z. Zhang, A.V. Kurakin, Dynamic hand gesture recognition using depth data, uS Patent 9,536,135 (Jan. 3 2017).	0	0		None	Skeleton-based dynamic hand gesture recognition using 3D depth data	2018	http://dx.doi.org/10.2352/issn.2470-1173.2018.18.3dipm-461	10.2352/issn.2470-1173.2018.18.3dipm-461
('[Who Solved the Secretary Problem?]: Rejoinder', 1989)	Thomas S. Ferguson. Who solved the secretary problem? Statist. Sci., 4(3):282â€“296, 1989. With comments and a rejoinder by the author.	0	0		Thomas S. Ferguson	[Who Solved the Secretary Problem?]: Rejoinder	1989	http://dx.doi.org/10.1214/ss/1177012498	10.1214/ss/1177012498
('Flexible Imputation of Missing Data. Stef van Buuren (2013). Boca Raton: CRC Press. 342 pages, ISBN: 9781439862849.', 2013)	Stef Van Buuren. Flexible imputation of missing data. CRC Press, 2012.	0	0		Michael O'Kelly	Flexible Imputation of Missing Data. Stef van Buuren (2013). Boca Raton: CRC Press. 342 pages, ISBN: 9781439862849.	2013	http://dx.doi.org/10.1002/bimj.201300187	10.1002/bimj.201300187
('[Title pages]', 2013)	Pooria Joulani, Andras Gyorgy, and Csaba SzepesvÂ´ari. Online learning under delayed feedback. In International Conference on Machine Learning, pages 1453â€“1461, 2013.	0	0		None	[Title pages]	2013	http://dx.doi.org/10.1109/icmlc.2013.6890341	10.1109/icmlc.2013.6890341
('Quantum Information Processing Using EIT', 2006)	John Langford, Alexander J Smola, and Martin Zinkevich. Slow learners are fast. Advances in Neural Information Processing Systems, 22:2331â€“2339, 2009.	0	0		Raymond G. Beausoleil	Quantum Information Processing Using EIT	2006	http://dx.doi.org/10.1364/sl.2006.tua4	10.1364/sl.2006.tua4
('Big data Migration for Telecom Business Support Systems', 2015)	Kent Quanrud and Daniel Khashabi. Online learning with adversarial delays. In Advances in Neural Information Processing Systems, pages 1270â€“1278, 2015.	0	0		IOAN DRAGAN and RAZVAN DANIEL	Big data Migration for Telecom Business Support Systems	2015	http://dx.doi.org/10.15224/978-1-63248-077-4-96	10.15224/978-1-63248-077-4-96
('Call for papers: AAAI-84 ', 1984)	Pooria Joulani, AndrÂ´as GyÂ¨orgy, and Csaba SzepesvÂ´ari. Delay-tolerant online convex optimization: Unified analysis and adaptive-gradient algorithms. In Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, AAAIâ€™16, pages 1744â€“1750. AAAI Press, 2016.	0	0		None	Call for papers: AAAI-84 	1984	http://dx.doi.org/10.1016/0004-3702(84)90030-4	10.1016/0004-3702(84)90030-4
('Enhanced Fritz John Conditions for Convex Programming', 2006)	Dimitri P. Bertsekas. Convex analysis and optimization. Athena Scientific, Belmont, MA, 2003. With Angelia NediÂ´c and Asuman E. Ozdaglar.	0	0		Dimitri P. Bertsekas and Asuman E. Ozdaglar and Paul Tseng	Enhanced Fritz John Conditions for Convex Programming	2006	http://dx.doi.org/10.1137/040613068	10.1137/040613068
('Christos H. Papadimitriou and Kenneth Steiglitz. Combinatorial optimization: algorithms and complexity. Dover Publications, Inc., Mineola, NY, 1998. Corrected reprint of the 1982 original.', 'CITATION ONLY')	Christos H. Papadimitriou and Kenneth Steiglitz. Combinatorial optimization: algorithms and complexity. Dover Publications, Inc., Mineola, NY, 1998. Corrected reprint of the 1982 original.	0	0		Richard T. Wong	Combinatorial Optimization: Algorithms and Complexity (Christos H. Papadimitriou and Kenneth Steiglitz)	1983	http://dx.doi.org/10.1137/1025101	10.1137/1025101
('Preface to the second edition', None)	J. H. van Lint and R. M. Wilson. A course in combinatorics. Cambridge University Press, Cambridge, second edition, 2001.	0	0		J. H. van Lint and R. M. Wilson	Preface to the second edition	None	http://dx.doi.org/10.1017/cbo9780511987045.002	10.1017/cbo9780511987045.002
('Von M C, Krause R, Snel B, et al. Comparative assessment of large-scale data sets of protein-protein interactions.[J]. Nature, 2002, 417(6887):399.', 'CITATION ONLY')	Von M C, Krause R, Snel B, et al. Comparative assessment of large-scale data sets of protein-protein interactions.[J]. Nature, 2002, 417(6887):399.	0	0		Christian von Mering and Roland Krause and Berend Snel and Michael Cornell and Stephen G. Oliver and Stanley Fields and Peer Bork	Comparative assessment of large-scale data sets of      protein–protein interactions	2002	http://dx.doi.org/10.1038/nature750	10.1038/nature750
('Towards a proteome-scale map of the human protein–protein interaction network', 2005)	Rual J F, Venkatesan K, Hao T, et al. Towards a proteome-scale map of the human proteinÂ¿protein interaction network[J]. Nature, 2005, 437(7062):1173-8.	0	0		Jean-François Rual and Kavitha Venkatesan and Tong Hao and Tomoko Hirozane-Kishikawa and Amélie Dricot and Ning Li and Gabriel F. Berriz and Francis D. Gibbons and Matija Dreze and Nono Ayivi-Guedehoussou and Niels Klitgord and Christophe Simon and Mike Boxem and Stuart Milstein and Jennifer Rosenberg and Debra S. Goldberg and Lan V. Zhang and Sharyl L. Wong and Giovanni Franklin and Siming Li and Joanna S. Albala and Janghoo Lim and Carlene Fraughton and Estelle Llamosas and Sebiha Cevik and Camille Bex and Philippe Lamesch and Robert S. Sikorski and Jean Vandenhaute and Huda Y. Zoghbi and Alex Smolyar and Stephanie Bosak and Reynaldo Sequerra and Lynn Doucette-Stamm and Michael E. Cusick and David E. Hill and Frederick P. Roth and Marc Vidal	Towards a proteome-scale map of the human protein–protein interaction network	2005	http://dx.doi.org/10.1038/nature04209	10.1038/nature04209
('Graph databases: the key to foolproof fraud detection?', 2016)	Robinson I, Webber J, Eifrem E. Graph Databases: New Opportunities for Connected Data[M]. O'Reilly Media, Inc. 2015.	0	0		Emil Eifrem	Graph databases: the key to foolproof fraud detection?	2016	http://dx.doi.org/10.1016/s1361-3723(16)30024-0	10.1016/s1361-3723(16)30024-0
