hash	citation	verified	checked	new_hash	author	title	year	URL	DOI
('3-D Human Action Recognition by Shape Analysis of Motion Trajectories on Riemannian Manifold', 2015)	M. Devanne, H. Wannous, S. Berretti, P. Pala, M. Daoudi, A.D. Bimbo 3-d human action IEEE Transactions on Cybernetics, 45 (7) (2015), pp. 1340–1352 https://doi.org/10.1109/tcyb.2014.2350774	1	1		Maxime Devanne and Hazem Wannous and Stefano Berretti and Pietro Pala and Mohamed Daoudi and Alberto Del Bimbo	3-D Human Action Recognition by Shape Analysis of Motion Trajectories on Riemannian Manifold	2015	http://dx.doi.org/10.1109/tcyb.2014.2350774	10.1109/tcyb.2014.2350774
('A &#x201C;string of feature graphs&#x201D; model for recognition of complex activities in natural videos', 2011)	U. Gaur, Y. Zhu, B. Song, and A. Roy-Chowdhury, “A string of feature graphs model for recognition of complex activities in natural videos,�\x9d in Proc. of IEEE International Conference on Computer Vision, pp. 2595-2602, 2011.	1	1		U. Gaur and Y. Zhu and B. Song and A. Roy-Chowdhury	A &#x201C;string of feature graphs&#x201D; model for recognition of complex activities in natural videos	2011	http://dx.doi.org/10.1109/iccv.2011.6126548	10.1109/iccv.2011.6126548
('A framework for clustering uncertain data', 2015)	E. Schubert, A. Koos, T. Emrich, A. Zufle, K. A. Schmid, and A. Zimek, “A framework for ¨ clustering uncertain data,�\x9d Proc. VLDB Endowment, vol. 8, pp. 1976–1979, Aug. 2015.	1	1		Erich Schubert and Alexander Koos and Tobias Emrich and Andreas Z�fle and Klaus Arthur Schmid and Arthur Zimek	A framework for clustering uncertain data	2015	http://dx.doi.org/10.14778/2824032.2824115	10.14778/2824032.2824115
('A high-quality reference panel reveals the complexity and distribution of structural genome changes in a human population', 2016)	Hehir-Kwa, J. Y. et al. A high-quality human reference panel reveals the complexity and distribution of genomic structural variants. Nat. Commun. 7, 12989 (2016).	1	1		None	A high-quality reference panel reveals the complexity and distribution of structural genome changes in a human population	2016	http://dx.doi.org/10.1101/036897	10.1101/036897
('J.-F. Cai, E. J. Candes, and Z. Shen, “A singular value thresholding algorithm for matrix ` completion,�\\x9d SIAM J. Optim, vol. 20, pp. 1956–1982, Mar. 2010.', 'CITATION ONLY')	J.-F. Cai, E. J. Candes, and Z. Shen, “A singular value thresholding algorithm for matrix ` completion,�\x9d SIAM J. Optim, vol. 20, pp. 1956–1982, Mar. 2010.	1	1		Jian-Feng Cai and Emmanuel J. Cand�s and Zuowei Shen	A Singular Value Thresholding Algorithm for Matrix Completion	2010	http://dx.doi.org/10.1137/080738970	10.1137/080738970
('A Spectral Method for Generating Surrogate Graph Signals', 2016)	E. Pirondini, A. Vybornova, M. Coscia, and D. Van De Ville, “Spectral method for generating surrogate graph signals,�\x9d IEEE Signal Process. Lett., vol. 23, pp. 1275–1278, Sep. 2016.	1	1		E. Pirondini and A. Vybornova and M. Coscia and D. Van De Ville	A Spectral Method for Generating Surrogate Graph Signals	2016	http://dx.doi.org/10.1109/lsp.2016.2594072	10.1109/lsp.2016.2594072
('M. Leordeanu and M. Hebert, “A spectral technique for correspondence problem using pairwise constraints,�\\x9d in Proc. of IEEE International Conference on Computer Vision, pp. 1482-1489, 2005.', 'CITATION ONLY')	M. Leordeanu and M. Hebert, “A spectral technique for correspondence problem using pairwise constraints,�\x9d in Proc. of IEEE International Conference on Computer Vision, pp. 1482-1489, 2005.	1	1		M. Leordeanu and M. Hebert	A spectral technique for correspondence problems using pairwise constraints	2005	http://dx.doi.org/10.1109/iccv.2005.20	10.1109/iccv.2005.20
('Action MACH a spatio-temporal Maximum Average Correlation Height filter for action recognition', 2008)	M.D. Rodriguez, J. Ahmed, and M. Shah, “Action MACH: a spatio-temporal maximum average correlation height filter for action recognition,�\x9d in Proc. of IEEE Conference on Computer Vision and Pattern Recognition, pp. 1-8, 2008.	1	1		Mikel D. Rodriguez and Javed Ahmed and Mubarak Shah	Action MACH a spatio-temporal Maximum Average Correlation Height filter for action recognition	2008	http://dx.doi.org/10.1109/cvpr.2008.4587727	10.1109/cvpr.2008.4587727
('Action Recognition Using Rate-Invariant Analysis of Skeletal Shape Trajectories', 2016)	B.B. Amor, J. Su, A. Srivastava Action recognition using IEEE Transactions on Pattern Analysis and Machine Intelligence, 38 (1) (2016), pp. 1–13 https://doi.org/10.1109/tpami.2015.2439257	1	1		Boulbaba Ben Amor and Jingyong Su and Anuj Srivastava	Action Recognition Using Rate-Invariant Analysis of Skeletal Shape Trajectories	2016	http://dx.doi.org/10.1109/tpami.2015.2439257	10.1109/tpami.2015.2439257
("Ageing as a primary risk factor for Parkinson's disease: evidence from studies of non-human primates", 2011)	Collier TJ, Kanaan NM, Kordower JH. Ageing as a primary risk factor for Parkinson’s disease: evidence from studies of non-human primates. Nat Rev Neurosci. 2011;12(6):359.	1	1		Timothy J. Collier and Nicholas M. Kanaan and Jeffrey H. Kordower	Ageing as a primary risk factor for Parkinson's disease: evidence from studies of non-human primates	2011	http://dx.doi.org/10.1038/nrn3039	10.1038/nrn3039
("Alzheimer's disease pattern of brain atrophy predicts cognitive decline in Parkinson's disease", 2011)	D. Weintraub, N. Dietz, J. E. Duda, D. A. Wolk, J. Doshi, S. X. Xie, C. Davatzikos, C. M. Clark, and A. Siderowf, “Alzheimer’s disease pattern of brain atrophy predicts cognitive decline in parkinson’s disease,�\x9d Brain, vol. 135, pp. 170–180, Nov. 2011.	1	1		D. Weintraub and N. Dietz and J. E. Duda and D. A. Wolk and J. Doshi and S. X. Xie and C. Davatzikos and C. M. Clark and A. Siderowf	Alzheimer's disease pattern of brain atrophy predicts cognitive decline in Parkinson's disease	2011	http://dx.doi.org/10.1093/brain/awr277	10.1093/brain/awr277
('G. Carlsson, F. Memoli, A. Ribeiro, and S. Segarra, “Axiomatic construction of hierarchi- ´ cal clustering in asymmetric networks,�\\x9d in IEEE Int. Conf. Acoust., Speech, Signal Process., pp. 5219–5223, 2013.', 'CITATION ONLY')	G. Carlsson, F. Memoli, A. Ribeiro, and S. Segarra, “Axiomatic construction of hierarchi- ´ cal clustering in asymmetric networks,�\x9d in IEEE Int. Conf. Acoust., Speech, Signal Process., pp. 5219–5223, 2013.	1	1		Gunnar Carlsson and Facundo Memoli and Alejandro Ribeiro and Santiago Segarra	Axiomatic construction of hierarchical clustering in asymmetric networks	2013	http://dx.doi.org/10.1109/icassp.2013.6638658	10.1109/icassp.2013.6638658
('Clustering of interval data based on city�block distances', 2004)	R. M. de Souza and F. d. A. De Carvalho, “Clustering of interval data based on city–block distances,�\x9d Elsevier Pattern Recognit. Lett., vol. 25, pp. 353–365, Feb. 2004.	1	1		Renata M.C.R. de Souza and Francisco de A.T. de Carvalho	Clustering of interval data based on city�block distances	2004	http://dx.doi.org/10.1016/j.patrec.2003.10.016	10.1016/j.patrec.2003.10.016
('Christos H. Papadimitriou and Kenneth Steiglitz. Combinatorial optimization: algorithms and complexity. Dover Publications, Inc., Mineola, NY, 1998. Corrected reprint of the 1982 original.', 'CITATION ONLY')	Christos H. Papadimitriou and Kenneth Steiglitz. Combinatorial optimization: algorithms and complexity. Dover Publications, Inc., Mineola, NY, 1998. Corrected reprint of the 1982 original.	0.5	1		Richard T. Wong	Combinatorial Optimization: Algorithms and Complexity (Christos H. Papadimitriou and Kenneth Steiglitz)	1983	http://dx.doi.org/10.1137/1025101	10.1137/1025101
('Von M C, Krause R, Snel B, et al. Comparative assessment of large-scale data sets of protein-protein interactions.[J]. Nature, 2002, 417(6887):399.', 'CITATION ONLY')	Von M C, Krause R, Snel B, et al. Comparative assessment of large-scale data sets of protein-protein interactions.[J]. Nature, 2002, 417(6887):399.	1	1		Christian von Mering and Roland Krause and Berend Snel and Michael Cornell and Stephen G. Oliver and Stanley Fields and Peer Bork	Comparative assessment of large-scale data sets of      protein�protein interactions	2002	http://dx.doi.org/10.1038/nature750	10.1038/nature750
('Computational Complexity and the Classification of Finite Simple Groups. In 24th Annual Symposium on Foundations of Computer Science, Tucson, Arizona, USA, 7-9 November 1983. 162–171.  [doi>10.1109/SFCS.1983.10]', 'CITATION ONLY')	Computational Complexity and the Classification of Finite Simple Groups. In 24th Annual Symposium on Foundations of Computer Science, Tucson, Arizona, USA, 7-9 November 1983. 162–171.  [doi>10.1109/SFCS.1983.10]	1	1		L. Babai and W. M. Kantor and E. M. Luks	Computational complexity and the classification of finite simple groups	1983	http://dx.doi.org/10.1109/sfcs.1983.10	10.1109/sfcs.1983.10
('Convolutional Neural Network Architecture for Geometric Matching', 2017)	I. Rocco, R. Arandjelovic, and J. Sivic. Convolutional neural ´ network architecture for geometric matching. arXiv preprint arXiv:1703.05593, 2017.	1	1		Ignacio Rocco and Relja Arandjelovic and Josef Sivic	Convolutional Neural Network Architecture for Geometric Matching	2017	http://dx.doi.org/10.1109/cvpr.2017.12	10.1109/cvpr.2017.12
('DAISY Filter Flow: A Generalized Discrete Approach to Dense Correspondences', 2014)	H. Yang, W. Lin, and J. Lu. Daisy filter flow: A generalized approach to discrete dense correspondences. CVPR, 2014.	1	1		Hongsheng Yang and Wen-Yan Lin and Jiangbo Lu	DAISY Filter Flow: A Generalized Discrete Approach to Dense Correspondences	2014	http://dx.doi.org/10.1109/cvpr.2014.435	10.1109/cvpr.2014.435
("Differences in duration of Huntington's disease based on age at onset", 1999)	Foroud T, Gray J, Ivashina J, Conneally PM. Differences in duration of Huntington’s disease based on age at onset. J Neurol Neurosurg Psychiatry. 1999;66(1):52–6.	1	1		T. Foroud and J. Gray and J. Ivashina and P M. Conneally	Differences in duration of Huntington's disease based on age at onset	1999	http://dx.doi.org/10.1136/jnnp.66.1.52	10.1136/jnnp.66.1.52
('J. Ma, W. Huang, S. Segarra, and A. Ribeiro, “Diffusion filtering for graph signals and its use in recommendation systems,�\\x9d in Proc. Int. Conf. Acoustics Speech Signal Process, (Shanghai, China), pp. 4563 – 4567, 2016.', 'CITATION ONLY')	J. Ma, W. Huang, S. Segarra, and A. Ribeiro, “Diffusion filtering for graph signals and its use in recommendation systems,�\x9d in Proc. Int. Conf. Acoustics Speech Signal Process, (Shanghai, China), pp. 4563 – 4567, 2016.	1	1		Jeremy Ma and Weiyu Huang and Santiago Segarra and Alejandro Ribeiro	Diffusion filtering of graph signals and its use in recommendation systems	2016	http://dx.doi.org/10.1109/icassp.2016.7472541	10.1109/icassp.2016.7472541
('Discrete Signal Processing on Graphs: Sampling Theory', 2015)	S. Chen, R. Varma, A. Sandryhaila, and J. Kovacevi ˇ c, “Discrete signal processing on graphs: ´ Sampling theory,�\x9d IEEE Trans. Signal Process., vol. 63, pp. 6510–6523, Dec. 2015.	1	1		Siheng Chen and Rohan Varma and Aliaksei Sandryhaila and Jelena Kovacevic	Discrete Signal Processing on Graphs: Sampling Theory	2015	http://dx.doi.org/10.1109/tsp.2015.2469645	10.1109/tsp.2015.2469645
("Disrupted Small-World Brain Networks in Moderate Alzheimer's Disease: A Resting-State fMRI Study", 2012)	X. Zhao, Y. Liu, X. Wang, B. Liu, Q. Xi, Q. Guo, H. Jiang, T. Jiang, and P. Wang, “Disrupted small-world brain networks in moderate alzheimer’s disease: a resting-state fmri study,�\x9d PloS one, vol. 7, p. e33540, Mar. 2012.	1	1		Xiaohu Zhao and Yong Liu and Xiangbin Wang and Bing Liu and Qian Xi and Qihao Guo and Hong Jiang and Tianzi Jiang and Peijun Wang	Disrupted Small-World Brain Networks in Moderate Alzheimer's Disease: A Resting-State fMRI Study	2012	http://dx.doi.org/10.1371/journal.pone.0033540	10.1371/journal.pone.0033540
('Distinct perfusion patterns in Alzheimer�s disease, frontotemporal dementia and dementia with Lewy bodies', 2014)	M. A. Binnewijzend, J. P. Kuijer, W. M. van der Flier, M. R. Benedictus, C. M. Moller, Y. A. ¨ Pijnenburg, A. W. Lemstra, N. D. Prins, M. P. Wattjes, B. N. van Berckel, et al., “Distinct perfusion patterns in alzheimer’s disease, frontotemporal dementia and dementia with lewy bodies,�\x9d Eur. Radiol., vol. 24, pp. 2326–2333, Sep. 2014.	1	1		Maja A. A. Binnewijzend and Joost P. A. Kuijer and Wiesje M. van der Flier and Marije R. Benedictus and Christiane M. M�ller and Yolande A. L. Pijnenburg and Afina W. Lemstra and Niels D. Prins and Mike P. Wattjes and Bart N. M. van Berckel and Philip Scheltens and Frederik Barkhof	Distinct perfusion patterns in Alzheimer�s disease, frontotemporal dementia and dementia with Lewy bodies	2014	http://dx.doi.org/10.1007/s00330-014-3172-3	10.1007/s00330-014-3172-3
("Dopamine and cognitive functioning: Brain imaging findings in Huntington's disease and normal aging", 2001)	Bäckman L, Farde L. Dopamine and cognitive functioning: brain imaging findings in Huntington’s disease and normal aging. Scand J Psychol. 2001; 42(3):287–96.	1	1		Lars Backman and Lars Farde	Dopamine and cognitive functioning: Brain imaging findings in Huntington's disease and normal aging	2001	http://dx.doi.org/10.1111/1467-9450.00238	10.1111/1467-9450.00238
('Efficient Computation of Isometry\u2010Invariant Distances Between Surfaces', 2006)	A. M. Bronstein, M. M. Bronstein, and R. Kimmel, “Efficient computation of isometryinvariant distances between surfaces,�\x9d SIAM J. Sci. Comput., vol. 28, pp. 1812–1836, Oct. 2006.	1	1		Alexander M. Bronstein and Michael M. Bronstein and Ron Kimmel	Efficient Computation of Isometry\u2010Invariant Distances Between Surfaces	2006	http://dx.doi.org/10.1137/050639296	10.1137/050639296
('Ensemble Deep Learning for Skeleton-Based Action Recognition Using Temporal Sliding LSTM Networks', 2017)	I. Lee, D. Kim, S. Kang, S. Lee, Ensemble deep learning for, in: 2017 IEEE International Conference on Computer Vision (ICCV), IEEE, 2017. doi:10.1109/iccv.2017.115.	1	1		Inwoong Lee and Doyoung Kim and Seoungyoon Kang and Sanghoon Lee	Ensemble Deep Learning for Skeleton-Based Action Recognition Using Temporal Sliding LSTM Networks	2017	http://dx.doi.org/10.1109/iccv.2017.115	10.1109/iccv.2017.115
('Erratum to: The Oxford Nanopore MinION: delivery of nanopore sequencing to the genomics community', 2016)	Jain, M., Olsen, H. E., Paten, B. & Akeson, M. The Oxford Nanopore MinION: delivery of nanopore sequencing to the genomics community. Genome Biol. 17, 239 (2016).	0.5	1		Miten Jain and Hugh E. Olsen and Benedict Paten and Mark Akeson	Erratum to: The Oxford Nanopore MinION: delivery of nanopore sequencing to the genomics community	2016	http://dx.doi.org/10.1186/s13059-016-1122-x	10.1186/s13059-016-1122-x
('D. Leightley, B. Li, J.S. McPhee, M.H. Yap, J. Darby, Exemplar-based human, in: Lecture Notes in Computer Science, Springer International Publishing, 2014, pp. 12–20. doi:10.1007/978-3-319-11755-32.', 'CITATION ONLY')	D. Leightley, B. Li, J.S. McPhee, M.H. Yap, J. Darby, Exemplar-based human, in: Lecture Notes in Computer Science, Springer International Publishing, 2014, pp. 12–20. doi:10.1007/978-3-319-11755-32.	1	1		Daniel Leightley and Baihua Li and Jamie S. McPhee and Moi Hoon Yap and John Darby	Exemplar-Based Human Action Recognition with Template Matching from a Stream of Motion Capture	2014	http://dx.doi.org/10.1007/978-3-319-11755-3_2	10.1007/978-3-319-11755-3_2
('Faculty of 1000 evaluation for Extensive sequencing of seven human genomes to characterize benchmark reference materials.', 2017)	Zook, J. M. et al. Extensive sequencing of seven human genomes to characterize benchmark reference materials. Sci. Data 3, 1–26 (2016).	0.5	1		Stefano Lonardi	Faculty of 1000 evaluation for Extensive sequencing of seven human genomes to characterize benchmark reference materials.	2017	http://dx.doi.org/10.3410/f.726412527.793536367	10.3410/f.726412527.793536367
('Feature learning based on SAE�PCA network for human gesture recognition in RGBD images', 2015)	S.-Z. Li, B. Yu, W. Wu, S.-Z. Su, R.-R. Ji Feature learning based on sae-pca network for human gesture recognition in rgbd images Neurocomputing, 151 (2015), pp. 565–573 https://doi.org/10.1016/j.neucom.2014.06.086	1	1		Shao-Zi Li and Bin Yu and Wei Wu and Song-Zhi Su and Rong-Rong Ji	Feature learning based on SAE�PCA network for human gesture recognition in RGBD images	2015	http://dx.doi.org/10.1016/j.neucom.2014.06.086	10.1016/j.neucom.2014.06.086
('Li SZ, Yu B, Wu W, Su SZ, Ji RR (2015) Feature learning based on SAE–PCA network for human gesture recognition in RGBD images. Neurocomputing 151:565–573.  https://doi.org/10.1016/j.neucom.2014.06.086', 'CITATION ONLY')	Li SZ, Yu B, Wu W, Su SZ, Ji RR (2015) Feature learning based on SAE–PCA network for human gesture recognition in RGBD images. Neurocomputing 151:565–573.  https://doi.org/10.1016/j.neucom.2014.06.086	1	1		Shao-Zi Li and Bin Yu and Wei Wu and Song-Zhi Su and Rong-Rong Ji	Feature learning based on SAE�PCA network for human gesture recognition in RGBD images	2015	http://dx.doi.org/10.1016/j.neucom.2014.06.086	10.1016/j.neucom.2014.06.086
('Flexible Imputation of Missing Data. Stef van Buuren (2013). Boca Raton: CRC Press. 342 pages, ISBN: 9781439862849.', 2013)	Stef Van Buuren. Flexible imputation of missing data. CRC Press, 2012.	0.5	1		Michael O'Kelly	Flexible Imputation of Missing Data. Stef van Buuren (2013). Boca Raton: CRC Press. 342 pages, ISBN: 9781439862849.	2013	http://dx.doi.org/10.1002/bimj.201300187	10.1002/bimj.201300187
('From The Cover: The human brain is intrinsically organized into dynamic, anticorrelated functional networks', 2005)	M. D. Fox, A. Z. Snyder, J. L. Vincent, M. Corbetta, D. C. Van Essen, and M. E. Raichle, “The human brain is intrinsically organized into dynamic, anticorrelated functional networks,�\x9d Proc. Natl. Acad. Sci. U.S.A., vol. 102, pp. 9673–9678, May 2005.	1	1		M. D. Fox and A. Z. Snyder and J. L. Vincent and M. Corbetta and D. C. Van Essen and M. E. Raichle	From The Cover: The human brain is intrinsically organized into dynamic, anticorrelated functional networks	2005	http://dx.doi.org/10.1073/pnas.0504136102	10.1073/pnas.0504136102
('Fusing Spatiotemporal Features and Joints for 3D Action Recognition', 2013)	Y. Zhu, W. Chen, G. Guo, Fusing, in: 2013IEEE Conference on Computer Vision and Pattern Recognition Workshops, IEEE, 2013. doi:10.1109/cvprw.2013.78.	1	1		Yu Zhu and Wenbin Chen and Guodong Guo	Fusing Spatiotemporal Features and Joints for 3D Action Recognition	2013	http://dx.doi.org/10.1109/cvprw.2013.78	10.1109/cvprw.2013.78
('Graph isomorphism in quasipolynomial time [extended abstract]. In Proceedings of the 48th Annual ACM SIGACT Symposium on Theory of Computing, STOC 2016, Cambridge, MA, USA, June 18-21, 2016. 684–697.  [doi>10.1145/2897518.2897542]', 'CITATION ONLY')	Graph isomorphism in quasipolynomial time [extended abstract]. In Proceedings of the 48th Annual ACM SIGACT Symposium on Theory of Computing, STOC 2016, Cambridge, MA, USA, June 18-21, 2016. 684–697.  [doi>10.1145/2897518.2897542]	1	1		L�szl� Babai	Graph isomorphism in quasipolynomial time [extended abstract]	2016	http://dx.doi.org/10.1145/2897518.2897542	10.1145/2897518.2897542
('P. Foggia, G. Percannella, M. Vento. Graph Matching and Learning in Pattern Recognition on the last ten years. Int J Pattern Recogn, 28 (1) (2014)', 'CITATION ONLY')	P. Foggia, G. Percannella, M. Vento. Graph Matching and Learning in Pattern Recognition on the last ten years. Int J Pattern Recogn, 28 (1) (2014)	1	1		PASQUALE FOGGIA and GENNARO PERCANNELLA and MARIO VENTO	GRAPH MATCHING AND LEARNING IN PATTERN RECOGNITION IN THE LAST 10 YEARS	2014	http://dx.doi.org/10.1142/s0218001414500013	10.1142/s0218001414500013
('Graph-based approach for 3D human skeletal action recognition', 2017)	M. Li, H. Leung Graph-based approach Pattern Recognition Letters, 87 (2017), pp. 195–202 https://doi.org/10.1016/j.patrec.2016.07.021	1	1		Meng Li and Howard Leung	Graph-based approach for 3D human skeletal action recognition	2017	http://dx.doi.org/10.1016/j.patrec.2016.07.021	10.1016/j.patrec.2016.07.021
('Gromov-Hausdorff Stable Signatures for Shapes using Persistence', 2009)	F. Chazal, D. Cohen-Steiner, L. J. Guibas, F. Memoli, and S. Y. Oudot, “GromovHausdorff ´ Stable Signatures for Shapes using Persistence,�\x9d Eurographics Symp. Geom. Process., vol. 28, no. 5, pp. 1393–1403, 2009.	1	1		Fr�d�ric Chazal and David Cohen-Steiner and Leonidas J. Guibas and Facundo M�moli and Steve Y. Oudot	Gromov-Hausdorff Stable Signatures for Shapes using Persistence	2009	http://dx.doi.org/10.1111/j.1467-8659.2009.01516.x	10.1111/j.1467-8659.2009.01516.x
('Hierarchical recurrent neural network for skeleton based action recognition', 2015)	Y. Du, W. Wang, L. Wang, Hierarchical recurrent, in: 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR), IEEE, 2015. doi:10.1109/cvpr.2015.7298714.	1	1		None	Hierarchical recurrent neural network for skeleton based action recognition	2015	http://dx.doi.org/10.1109/cvpr.2015.7298714	10.1109/cvpr.2015.7298714
('Human Action Recognition by Representing 3D Skeletons as Points in a Lie Group', 2014)	R. Vemulapalli, F. Arrate, R. Chellappa, Human action recognition by, in: 2014 IEEE Conference on Computer Vision and Pattern Recognition, IEEE, 2014. doi:10.1109/cvpr.2014.82.	1	1		Raviteja Vemulapalli and Felipe Arrate and Rama Chellappa	Human Action Recognition by Representing 3D Skeletons as Points in a Lie Group	2014	http://dx.doi.org/10.1109/cvpr.2014.82	10.1109/cvpr.2014.82
('Human action recognition via multi-task learning base on spatial�temporal feature', 2015)	W. Guo and G. Chen, “Human action recognition via multitask learning base on spatial-temporal feature,�\x9d Information Sciences, vol. 320, no. 3, pp. 418-428, Nov. 2015.	1	1		Wenzhong Guo and Guolong Chen	Human action recognition via multi-task learning base on spatial�temporal feature	2015	http://dx.doi.org/10.1016/j.ins.2015.04.034	10.1016/j.ins.2015.04.034
("Huntington's disease", 2007)	Walker FO. Huntington’s disease. Lancet. 2007;369(9557):218–28. 2	1	1		Francis O Walker	Huntington's disease	2007	http://dx.doi.org/10.1016/s0140-6736(07)60111-1	10.1016/s0140-6736(07)60111-1
('Introduction to Matrix Analysis (Richard Bellman)', 1960)	R. Bellman, Introduction To Matrix Analysis, vol. 960. SIAM, 1970.	0.5	1		R. A. Willoughby	Introduction to Matrix Analysis (Richard Bellman)	1960	http://dx.doi.org/10.1137/1002051	10.1137/1002051
('Learning Actionlet Ensemble for 3D Human Action Recognition', 2014)	J. Wang, Z. Liu, Y. Wu, Learning actionlet, in: SpringerBriefs in Computer Science, Springer International Publishing, 2014, pp. 11–40. doi:10.1007/978-3-319-04561-02.	1	1		Jiang Wang and Zicheng Liu and Ying Wu	Learning Actionlet Ensemble for 3D Human Action Recognition	2014	http://dx.doi.org/10.1007/978-3-319-04561-0_2	10.1007/978-3-319-04561-0_2
('Learning hierarchical spatio-temporal pattern for human activity prediction', 2016)	W. Ding, K. Liu, F. Cheng, J. Zhang Learning hierarchical Journal of Visual Communication and Image Representation, 35 (2016), pp. 103–111 https://doi.org/10.1016/j.jvcir.2015.12.006	1	1		Wenwen Ding and Kai Liu and Fei Cheng and Jin Zhang	Learning hierarchical spatio-temporal pattern for human activity prediction	2016	http://dx.doi.org/10.1016/j.jvcir.2015.12.006	10.1016/j.jvcir.2015.12.006
('Measures of Similarity between Fuzzy Concepts: A Comparative Analysis', 1987)	Zwick R, Carlstein E, Budescu DV. Measures of similarity among fuzzy concepts: a comparative analysis. Int J Approx Reason. 1987;1(2):221–42.	1	1		Rami Zwick and Edward Carlstein and David Budescu	Measures of Similarity between Fuzzy Concepts: A Comparative Analysis	1987	http://dx.doi.org/10.21236/ada189430	10.21236/ada189430
('P.V.V. Kishore, D.A. Kumar, A.S.C.S. Sastry, E.K. Kumar Motionlets matching with IEEE Sensors Journal, 18 (8) (2018), pp. 3327–3337 https://doi.org/10.1109/jsen.2018.2810449', 'CITATION ONLY')	P.V.V. Kishore, D.A. Kumar, A.S.C.S. Sastry, E.K. Kumar Motionlets matching with IEEE Sensors Journal, 18 (8) (2018), pp. 3327–3337 https://doi.org/10.1109/jsen.2018.2810449	1	1		P. V. V. Kishore and D. Anil Kumar and A. S. Chandra Sekhara Sastry and E. Kiran Kumar	Motionlets Matching With Adaptive Kernels for 3-D Indian Sign Language Recognition	2018	http://dx.doi.org/10.1109/jsen.2018.2810449	10.1109/jsen.2018.2810449
