citation	hash	is_parent	auto_verified	verified	year	title	author	URL	file_loc	reference_count	is_referenced_by_count
H. Bunke, Recent developments in graph matching	('Recent developments in graph matching', 'None')	True	1.0	1.0	None	Recent developments in graph matching	H. Bunke	http://dx.doi.org/10.1109/icpr.2000.906030	./bibliographies\database11.txt	65.0	45.0
SUNG H. MYAENG, AURELIO LOPEZ-LOPEZ, Conceptual graph matching: a flexible algorithm and experiments	('Conceptual graph matching: a flexible algorithm and experiments', 1992.0)	True	1.0	1.0	1992.0	Conceptual graph matching: a flexible algorithm and experiments	SUNG H. MYAENG and AURELIO LOPEZ-LOPEZ	http://dx.doi.org/10.1080/09528139208953741	./bibliographies\database110.txt	8.0	9.0
Danilo Bruschi, Lorenzo Martignoni, Mattia Monga, Detecting Self-mutating Malware Using Control-Flow Graph Matching	('Detecting Self-mutating Malware Using Control-Flow Graph Matching', 2006.0)	True	1.0	1.0	2006.0	Detecting Self-mutating Malware Using Control-Flow Graph Matching	Danilo Bruschi and Lorenzo Martignoni and Mattia Monga	http://dx.doi.org/10.1007/11790754_8	./bibliographies\database111.txt	0.0	40.0
Francisco Escolano, Edwin Hancock, Miguel Lozano, Graph matching through entropic manifold alignment	('Graph matching through entropic manifold alignment', 2011.0)	True	1.0	1.0	2011.0	Graph matching through entropic manifold alignment	Francisco Escolano and Edwin Hancock and Miguel Lozano	http://dx.doi.org/10.1109/cvpr.2011.5995583	./bibliographies\database112.txt	28.0	8.0
Feng Zhou, Fernando de la Torre, Deformable Graph Matching	('Deformable Graph Matching', 2013.0)	True	1.0	1.0	2013.0	Deformable Graph Matching	Feng Zhou and Fernando De la Torre	http://dx.doi.org/10.1109/cvpr.2013.376	./bibliographies\database113.txt	29.0	45.0
A. Hlaoui, Shengrui Wang, A new algorithm for inexact graph matching	('A new algorithm for inexact graph matching', 'None')	True	1.0	1.0	None	A new algorithm for inexact graph matching	None	http://dx.doi.org/10.1109/icpr.2002.1047427	./bibliographies\database114.txt	6.0	12.0
Michel Neuhaus, Horst Bunke, A Graph Matching Based Approach to Fingerprint Classification Using Directional Variance	('A Graph Matching Based Approach to Fingerprint Classification Using Directional Variance', 2005.0)	True	1.0	1.0	2005.0	A Graph Matching Based Approach to Fingerprint Classification Using Directional Variance	Michel Neuhaus and Horst Bunke	http://dx.doi.org/10.1007/11527923_20	./bibliographies\database115.txt	0.0	9.0
Manuel Montes-y-GÃ³mez, Aurelio LÃ³pez-LÃ³pez, Alexander Gelbukh, Information Retrieval with Conceptual Graph Matching	('Information Retrieval with Conceptual Graph Matching', 2000.0)	True	1.0	1.0	2000.0	Information Retrieval with Conceptual Graph Matching	Manuel Montes-y-Gómez and Aurelio López-López and Alexander Gelbukh	http://dx.doi.org/10.1007/3-540-44469-6_29	./bibliographies\database116.txt	0.0	7.0
Neha Runwal, Richard M. Low, Mark Stamp, Opcode graph similarity and metamorphic detection	('Opcode graph similarity and metamorphic detection', 2012.0)	True	1.0	1.0	2012.0	Opcode graph similarity and metamorphic detection	Neha Runwal and Richard M. Low and Mark Stamp	http://dx.doi.org/10.1007/s11416-012-0160-5	./bibliographies\database117.txt	33.0	57.0
Steven Gold, Anand Rangarajan, Eric Mjolsness, Learning with Preknowledge: Clustering with Point and Graph Matching Distance Measures	('Learning with Preknowledge: Clustering with Point and Graph Matching Distance Measures', 1996.0)	True	1.0	1.0	1996.0	Learning with Preknowledge: Clustering with Point and Graph Matching Distance Measures	Steven Gold and Anand Rangarajan and Eric Mjolsness	http://dx.doi.org/10.1162/neco.1996.8.4.787	./bibliographies\database118.txt	16.0	25.0
E. Krissinel, K. Henrick, Secondary-structure matching (SSM) a new tool for fast protein structure alignment in three dimensions	('Secondary-structure matching (SSM), a new tool for fast protein structure alignment in three dimensions', 2004.0)	True	1.0	1.0	2004.0	Secondary-structure matching (SSM), a new tool for fast protein structure alignment in three dimensions	E. Krissinel and K. Henrick	http://dx.doi.org/10.1107/s0907444904026460	./bibliographies\database119.txt	0.0	1902.0
D. Conte, P. Foggia, C. Sansone, M. Vento, Thirty years of graph matching in pattern recognition	('THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 2004.0)	True	1.0	1.0	2004.0	THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION	D. CONTE and P. FOGGIA and C. SANSONE and M. VENTO	http://dx.doi.org/10.1142/s0218001404003228	./bibliographies\database12.txt	97.0	468.0
J. Marialke, R. KÃ¶rner, S. Tietze, Joannis Apostolakis, Graph-Based Molecular Alignment (GMA)	('Graph-Based Molecular Alignment (GMA)', 2007.0)	True	1.0	1.0	2007.0	Graph-Based Molecular Alignment (GMA)	J. Marialke and R. Körner and S. Tietze and Joannis Apostolakis	http://dx.doi.org/10.1021/ci600387r	./bibliographies\database120.txt	0.0	17.0
Gae-Won You, Seung-Won Hwang, Young-In Song, Long Jiang, Zaiqing Nie, Efficient Entity Translation Mining	('Efficient Entity Translation Mining', 2012.0)	True	1.0	1.0	2012.0	Efficient Entity Translation Mining	Gae-Won You and Seung-Won Hwang and Young-In Song and Long Jiang and Zaiqing Nie	http://dx.doi.org/10.1145/2382438.2382444	./bibliographies\database121.txt	0.0	3.0
Michal KolÃ¡Å™, Michael LÃ¤ssig, Johannes Berg, From protein interactions to functional annotation: graph alignment in Herpes	('From protein interactions to functional annotation: graph alignment in Herpes', 2008.0)	True	1.0	1.0	2008.0	From protein interactions to functional annotation: graph alignment in Herpes	Michal Kolar and Michael Lassig and Johannes Berg	http://dx.doi.org/10.1186/1752-0509-2-90	./bibliographies\database122.txt	0.0	9.0
R. GuimerÃ , L. Danon, A. DÃ­az-Guilera, F. Giralt, A. Arenas, Self-similar community structure in a network of human interactions	('Self-similar community structure in a network of human interactions', 2003.0)	True	1.0	1.0	2003.0	Self-similar community structure in a network of human interactions	R. Guimerà and L. Danon and A. Díaz-Guilera and F. Giralt and A. Arenas	http://dx.doi.org/10.1103/physreve.68.065103	./bibliographies\database124.txt	20.0	496.0
Aziz Mithani, Gail M. Preston, Jotun Hein, Rahnuma: hypergraph-based tool for metabolic pathway prediction and network comparison	('Rahnuma: hypergraph-based tool for metabolic pathway prediction and network comparison', 2009.0)	True	1.0	1.0	2009.0	Rahnuma: hypergraph-based tool for metabolic pathway prediction and network comparison	Aziz Mithani and Gail M. Preston and Jotun Hein	http://dx.doi.org/10.1093/bioinformatics/btp269	./bibliographies\database125.txt	7.0	31.0
Wataru Fujibuchi, Hiroyuki Ogata, Hideo Matsuda, Minoru Kanehisa,  Automatic detection of conserved gene clusters in multiple genomes by graph comparison and P-quasi grouping	('Automatic detection of conserved gene clusters in multiple genomes by graph comparison and P-quasi grouping', 2000.0)	True	1.0	1.0	2000.0	Automatic detection of conserved gene clusters in multiple genomes by graph comparison and P-quasi grouping	W. Fujibuchi	http://dx.doi.org/10.1093/nar/28.20.4029	./bibliographies\database126.txt	0.0	18.0
Orestis Kostakis, Joris Kinable, Hamed Mahmoudi, Kimmo Mustonen, Improved call graph comparison using simulated annealing	('Improved call graph comparison using simulated annealing', 2011.0)	True	1.0	1.0	2011.0	Improved call graph comparison using simulated annealing	Orestis Kostakis and Joris Kinable and Hamed Mahmoudi and Kimmo Mustonen	http://dx.doi.org/10.1145/1982185.1982509	./bibliographies\database128.txt	0.0	12.0
Roded Sharan, Trey Ideker, Modeling cellular machinery through biological network comparison	('Modeling cellular machinery through biological network comparison', 2006.0)	True	1.0	1.0	2006.0	Modeling cellular machinery through biological network comparison	Roded Sharan and Trey Ideker	http://dx.doi.org/10.1038/nbt1196	./bibliographies\database13.txt	71.0	270.0
D. Pramadihanto, H. Wu, M. Yachida, Invariant face recognition by Gabor wavelets and neural network matching	('Invariant face recognition by Gabor wavelets and neural network matching', 'None')	True	1.0	1.0	None	Invariant face recognition by Gabor wavelets and neural network matching	D. Pramadihanto and H. Wu and M. Yachida	http://dx.doi.org/10.1109/icsmc.1996.569740	./bibliographies\database130.txt	8.0	5.0
Demin Xiong, A three-stage computational approach to network matching	('A three-stage computational approach to network matching', 2000.0)	True	1.0	1.0	2000.0	A three-stage computational approach to network matching	Demin Xiong	http://dx.doi.org/10.1016/s0968-090x(00)00011-5	./bibliographies\database132.txt	15.0	16.0
Sven Hartrumpf, Question Answering Using Sentence Parsing and Semantic Network Matching	('Question Answering Using Sentence Parsing and Semantic Network Matching', 2005.0)	True	1.0	1.0	2005.0	Question Answering Using Sentence Parsing and Semantic Network Matching	Sven Hartrumpf	http://dx.doi.org/10.1007/11519645_50	./bibliographies\database133.txt	0.0	4.0
Xiaoqian Sun, Sebastian Wandelt, Network similarity analysis of air navigation route systems	('Network similarity analysis of air navigation route systems', 2014.0)	True	1.0	1.0	2014.0	Network similarity analysis of air navigation route systems	Xiaoqian Sun and Sebastian Wandelt	http://dx.doi.org/10.1016/j.tre.2014.08.005	./bibliographies\database136.txt	60.0	19.0
Hailin Chen, Zuping Zhang, Similarity-based methods for potential human microRNA-disease association prediction	('Similarity-based methods for potential human microRNA-disease association prediction', 2013.0)	True	1.0	1.0	2013.0	Similarity-based methods for potential human microRNA-disease association prediction	Hailin Chen and Zuping Zhang	http://dx.doi.org/10.1186/1755-8794-6-12	./bibliographies\database137.txt	30.0	43.0
Bo Wang, Aziz M Mezlini, Feyyaz Demir, Marc Fiume, Zhuowen Tu, Michael Brudno, Benjamin Haibe-Kains, Anna Goldenberg, Similarity network fusion for aggregating data types on a genomic scale	('Similarity network fusion for aggregating data types on a genomic scale', 2014.0)	True	1.0	1.0	2014.0	Similarity network fusion for aggregating data types on a genomic scale	Bo Wang and Aziz M Mezlini and Feyyaz Demir and Marc Fiume and Zhuowen Tu and Michael Brudno and Benjamin Haibe-Kains and Anna Goldenberg	http://dx.doi.org/10.1038/nmeth.2810	./bibliographies\database139.txt	26.0	158.0
Kristina Schadler, Fritz Wysotzki, A connectionist approach to structural similarity determination as a basis of clustering classification and feature detection	('A connectionist approach to structural similarity determination as a basis of clustering, classification and feature detection', 1997.0)	True	1.0	1.0	1997.0	A connectionist approach to structural similarity determination as a basis of clustering, classification and feature detection	Kristina Schädler and Fritz Wysotzki	http://dx.doi.org/10.1007/3-540-63223-9_124	./bibliographies\database14.txt	0.0	0.0
Weiling Chen, Gang Wang, Research on similarity calculation of citation semantic link network	('Research on similarity calculation of citation semantic link network', 2012.0)	True	1.0	1.0	2012.0	Research on similarity calculation of citation semantic link network	None	http://dx.doi.org/10.1109/icsess.2012.6269410	./bibliographies\database140.txt	12.0	5.0
Jason Weston, Andre Elisseeff, Dengyong Zhou, Christina S. Leslie, and William Stafford Noble, Protein ranking: From local to global structure in the protein similarity network	('Protein ranking: From local to global structure in the protein similarity network', 2004.0)	True	1.0	1.0	2004.0	Protein ranking: From local to global structure in the protein similarity network	J. Weston and A. Elisseeff and D. Zhou and C. S. Leslie and W. S. Noble	http://dx.doi.org/10.1073/pnas.0308067101	./bibliographies\database141.txt	19.0	56.0
Andreas Fischer, Kaspar Riesen, Horst Bunke, Graph Similarity Features for HMM-Based Handwriting Recognition in Historical Documents	('Graph Similarity Features for HMM-Based Handwriting Recognition in Historical Documents', 2010.0)	True	1.0	1.0	2010.0	Graph Similarity Features for HMM-Based Handwriting Recognition in Historical Documents	Andreas Fischer and Kaspar Riesen and Horst Bunke	http://dx.doi.org/10.1109/icfhr.2010.47	./bibliographies\database143.txt	20.0	23.0
Shanhu Shang, Ning Zheng, Jian Xu, Ming Xu, Haiping Zhang, Detecting malware variants via function-call graph similarity	('Detecting malware variants via function-call graph similarity', 2010.0)	True	1.0	1.0	2010.0	Detecting malware variants via function-call graph similarity	None	http://dx.doi.org/10.1109/malware.2010.5665787	./bibliographies\database144.txt	23.0	5.0
G. Tinhofer, Graph isomorphism and theorems of Birkhoff type	('Graph isomorphism and theorems of Birkhoff type', 1986.0)	True	1.0	1.0	1986.0	Graph isomorphism and theorems of Birkhoff type	G. Tinhofer	http://dx.doi.org/10.1007/bf02240204	./bibliographies\database146.txt	10.0	15.0
George S. Lueker, Kellogg S. Booth, A Linear Time Algorithm for Deciding Interval Graph Isomorphism	('A Linear Time Algorithm for Deciding Interval Graph Isomorphism', 1979.0)	True	1.0	1.0	1979.0	A Linear Time Algorithm for Deciding Interval Graph Isomorphism	George S. Lueker and Kellogg S. Booth	http://dx.doi.org/10.1145/322123.322125	./bibliographies\database147.txt	0.0	88.0
Weiguo Zheng, Lei Zou, Xiang Lian, Jeffrey Xu Yu, Shaoxu Song, Dongyan Zhao, How to Build Templates for RDF Question/Answering	('How to Build Templates for RDF Question/Answering', 2015.0)	True	1.0	1.0	2015.0	How to Build Templates for RDF Question/Answering	Weiguo Zheng and Lei Zou and Xiang Lian and Jeffrey Xu Yu and Shaoxu Song and Dongyan Zhao	http://dx.doi.org/10.1145/2723372.2747648	./bibliographies\database148.txt	35.0	7.0
Hewayda ElGhawalby, Edwin R. Hancock, Measuring Graph Similarity Using Spectral Geometry	('Measuring Graph Similarity Using Spectral Geometry', 'None')	True	1.0	1.0	None	Measuring Graph Similarity Using Spectral Geometry	Hewayda ElGhawalby and Edwin R. Hancock	http://dx.doi.org/10.1007/978-3-540-69812-8_51	./bibliographies\database149.txt	0.0	9.0
Weiguo Zheng, Lei Zou, Xiang Lian, Dong Wang, Dongyan Zhao, Graph similarity search with edit distance constraint in large graph databases	('Graph similarity search with edit distance constraint in large graph databases', 2013.0)	True	1.0	1.0	2013.0	Graph similarity search with edit distance constraint in large graph databases	Weiguo Zheng and Lei Zou and Xiang Lian and Dong Wang and Dongyan Zhao	http://dx.doi.org/10.1145/2505515.2505723	./bibliographies\database150.txt	0.0	8.0
Mehran Ahmadlou, Hojjat Adeli, Visibility graph similarity: A new measure of generalized synchronization in coupled dynamic systems	('Visibility graph similarity: A new measure of generalized synchronization in coupled dynamic systems', 2012.0)	True	1.0	1.0	2012.0	Visibility graph similarity: A new measure of generalized synchronization in coupled dynamic systems	Mehran Ahmadlou and Hojjat Adeli	http://dx.doi.org/10.1016/j.physd.2011.09.008	./bibliographies\database151.txt	55.0	69.0
Salim Jouili, Salvatore Tabbone, Graph matching based on node signatures	('Graph Matching Based on Node Signatures', 2009.0)	True	1.0	1.0	2009.0	Graph Matching Based on Node Signatures	Salim Jouili and Salvatore Tabbone	http://dx.doi.org/10.1007/978-3-642-02124-4_16	./bibliographies\database152.txt	29.0	7.0
J. Buhmann, M. Lades, C. von der Malsburg, Size and distortion invariant object recognition by hierarchical graph matching	('Size and distortion invariant object recognition by hierarchical graph matching', 1990.0)	True	1.0	1.0	1990.0	Size and distortion invariant object recognition by hierarchical graph matching	J. Buhmann and M. Lades and C. von der Malsburg	http://dx.doi.org/10.1109/ijcnn.1990.137747	./bibliographies\database153.txt	9.0	17.0
Yu-Chia Chung, Tony X. Han, Zhihai He, Building recognition using sketch-based representations and spectral graph matching	('Building recognition using sketch-based representations and spectral graph matching', 2009.0)	True	1.0	1.0	2009.0	Building recognition using sketch-based representations and spectral graph matching	None	http://dx.doi.org/10.1109/iccv.2009.5459444	./bibliographies\database154.txt	30.0	1.0
M. Gori, M. Maggini, L. Sarti, Exact and approximate graph matching using random walks	('Exact and approximate graph matching using random walks', 2005.0)	True	1.0	1.0	2005.0	Exact and approximate graph matching using random walks	M. Gori and M. Maggini and L. Sarti	http://dx.doi.org/10.1109/tpami.2005.138	./bibliographies\database155.txt	26.0	65.0
H. Sundar, D. Silver, N. Gagvani, S. Dickinson, Skeleton based shape matching and retrieval	('Skeleton based shape matching and retrieval', 'None')	True	1.0	1.0	None	Skeleton based shape matching and retrieval	H. Sundar and D. Silver and N. Gagvani and S. Dickinson	http://dx.doi.org/10.1109/smi.2003.1199609	./bibliographies\database157.txt	37.0	165.0
Chung-Shou Liao, Kanghao Lu, Michael Baym, Rohit Singh, Bonnie Berger, IsoRankN: spectral methods for global alignment of multiple protein networks	('IsoRankN: spectral methods for global alignment of multiple protein networks', 2009.0)	True	1.0	1.0	2009.0	IsoRankN: spectral methods for global alignment of multiple protein networks	C.-S. Liao and K. Lu and M. Baym and R. Singh and B. Berger	http://dx.doi.org/10.1093/bioinformatics/btp203	./bibliographies\database158.txt	28.0	141.0
Thomas Gartner, Peter Flach, Stefan Wrobel, On Graph Kernels: Hardness Results and Efficient Alternatives	('On Graph Kernels: Hardness Results and Efficient Alternatives', 2003.0)	True	1.0	1.0	2003.0	On Graph Kernels: Hardness Results and Efficient Alternatives	Thomas Gärtner and Peter Flach and Stefan Wrobel	http://dx.doi.org/10.1007/978-3-540-45167-9_11	./bibliographies\database16.txt	0.0	111.0
Dong-Qing Zhang, Shih-Fu Chang, Detecting image near-duplicate by stochastic attributed relational graph matching with learning	('Detecting image near-duplicate by stochastic attributed relational graph matching with learning', 2004.0)	True	1.0	1.0	2004.0	Detecting image near-duplicate by stochastic attributed relational graph matching with learning	Dong-Qing Zhang and Shih-Fu Chang	http://dx.doi.org/10.1145/1027527.1027730	./bibliographies\database160.txt	0.0	77.0
Christoph von der Malsburg, Pattern recognition by labeled graph matching	('Pattern recognition by labeled graph matching', 1988.0)	True	1.0	1.0	1988.0	Pattern recognition by labeled graph matching	Christoph von der Malsburg	http://dx.doi.org/10.1016/0893-6080(88)90016-0	./bibliographies\database161.txt	32.0	111.0
Harold N. Gabow, Robert E. Tarjan, Faster scaling algorithms for general graph matching problems	('Faster Scaling Algorithms for General Graph Matching Problems', 1989.0)	True	1.0	1.0	1989.0	Faster Scaling Algorithms for General Graph Matching Problems	Harold N. Gabow and Robert E. Tarjan	http://dx.doi.org/10.21236/ada215112	./bibliographies\database162.txt	0.0	0.0
Remco Dijkman, Marlon Dumas,Luciano GarcÃ­a-BaÃ±uelos, Graph Matching Algorithms for Business Process Model Similarity Search	('Graph Matching Algorithms for Business Process Model Similarity Search', 2009.0)	True	1.0	1.0	2009.0	Graph Matching Algorithms for Business Process Model Similarity Search	Remco Dijkman and Marlon Dumas and Luciano García-Bañuelos	http://dx.doi.org/10.1007/978-3-642-03848-8_5	./bibliographies\database164.txt	21.0	99.0
D. K. Isenor, S. G. Zaky, Fingerprint identification using graph matching	('Fingerprint identification using graph matching', 1986.0)	True	1.0	1.0	1986.0	Fingerprint identification using graph matching	D.K. Isenor and S.G. Zaky	http://dx.doi.org/10.1016/0031-3203(86)90017-8	./bibliographies\database165.txt	28.0	78.0
Chien-Chung Shen, Wen-Hsiang Tsai, A Graph Matching Approach to Optimal Task Assignment in Distributed Computing Systems Using a Minimax Criterion	('A Graph Matching Approach to Optimal Task Assignment in Distributed Computing Systems Using a Minimax Criterion', 1985.0)	True	1.0	1.0	1985.0	A Graph Matching Approach to Optimal Task Assignment in Distributed Computing Systems Using a Minimax Criterion	None	http://dx.doi.org/10.1109/tc.1985.1676563	./bibliographies\database166.txt	18.0	183.0
Qingwu Yang, Sing-Hoi Sze, Path matching and graph matching in biological networks	('Path Matching and Graph Matching in Biological Networks', 2007.0)	True	1.0	1.0	2007.0	Path Matching and Graph Matching in Biological Networks	Qingwu Yang and Sing-Hoi Sze	http://dx.doi.org/10.1089/cmb.2006.0076	./bibliographies\database168.txt	34.0	40.0
Tamas Horvath, Thomas Gartner, Stefan Wrobel, Cyclic pattern kernels for predictive graph mining	('Cyclic pattern kernels for predictive graph mining', 2004.0)	True	1.0	1.0	2004.0	Cyclic pattern kernels for predictive graph mining	Tamás Horváth and Thomas G?rtner and Stefan Wrobel	http://dx.doi.org/10.1145/1014052.1014072	./bibliographies\database17.txt	0.0	51.0
Mueller LA, Kugler KG, Netzer M, Graber A, Dehmer M., A network-based approach to classify the three domains of life	('A network-based approach to classify the three domains of life', 2011.0)	True	1.0	1.0	2011.0	A network-based approach to classify the three domains of life	Laurin AJ Mueller and Karl G Kugler and Michael Netzer and Armin Graber and Matthias Dehmer	http://dx.doi.org/10.1186/1745-6150-6-53	./bibliographies\database18.txt	28.0	4.0
Mingxi Zhang, Hao Hu, Zhenying He, Liping Gao, Liujie Sun, A comprehensive structural-based similarity measure in directed graphs	('A comprehensive structural-based similarity measure in directed graphs', 2015.0)	True	1.0	1.0	2015.0	A comprehensive structural-based similarity measure in directed graphs	Mingxi Zhang and Hao Hu and Zhenying He and Liping Gao and Liujie Sun	http://dx.doi.org/10.1016/j.neucom.2015.04.084	./bibliographies\database2.txt	41.0	3.0
Vikram Saraph, Tijana Milenkovic, MAGNA: Maximizing Accuracy in Global Network Alignment	('MAGNA: Maximizing Accuracy in Global Network Alignment', 2014.0)	True	1.0	1.0	2014.0	MAGNA: Maximizing Accuracy in Global Network Alignment	Vikram Saraph and Tijana Milenkovi\u0107	http://dx.doi.org/10.1093/bioinformatics/btu409	./bibliographies\database20.txt	43.0	43.0
Wayne Hayes, Kai Sun, Natasa Przulj, Graphlet-based measures are suitable for biological network comparison	('Graphlet-based measures are suitable for biological network comparison', 2013.0)	True	1.0	1.0	2013.0	Graphlet-based measures are suitable for biological network comparison	W. Hayes and K. Sun and N. Przulj	http://dx.doi.org/10.1093/bioinformatics/bts729	./bibliographies\database21.txt	42.0	26.0
Natasa Przulj, Biological network comparison using graphlet degree distribution	('Biological network comparison using graphlet degree distribution', 2010.0)	True	1.0	1.0	2010.0	Biological network comparison using graphlet degree distribution	N. Przulj	http://dx.doi.org/10.1093/bioinformatics/btq091	./bibliographies\database22.txt	1.0	9.0
Tiago Rito, Zi Wang, Charlotte M. Deane, Gesine Reinert, How threshold behaviour affects the use of subgraphs for network comparison	('How threshold behaviour affects the use of subgraphs for network comparison', 2010.0)	True	1.0	1.0	2010.0	How threshold behaviour affects the use of subgraphs for network comparison	Tiago Rito and Zi Wang and Charlotte M. Deane and Gesine Reinert	http://dx.doi.org/10.1093/bioinformatics/btq386	./bibliographies\database23.txt	28.0	14.0
Waqar Ali, Tiago Rito, Gesine Reinert, Fengzhu Sun, Charlotte M. Deane, Alignment-free protein interaction network comparison	('Alignment-free protein interaction network comparison', 2014.0)	True	1.0	1.0	2014.0	Alignment-free protein interaction network comparison	Waqar Ali and Tiago Rito and Gesine Reinert and Fengzhu Sun and Charlotte M. Deane	http://dx.doi.org/10.1093/bioinformatics/btu447	./bibliographies\database24.txt	46.0	8.0
F. Emmert-Streib, M. Dehmer, Networks for systems biology: conceptual connection of data and function	('Networks for systems biology: conceptual connection of data and function', 2011.0)	True	1.0	1.0	2011.0	Networks for systems biology: conceptual connection of data and function	F. Emmert-Streib and M. Dehmer	http://dx.doi.org/10.1049/iet-syb.2010.0025	./bibliographies\database25.txt	248.0	58.0
Les Kitchen, Relaxation applied to matching quantitative relational structures	('Relaxation Applied to Matching Quantitative Relational Structures', 1978.0)	True	1.0	1.0	1978.0	Relaxation Applied to Matching Quantitative Relational Structures	Les Kitchen	http://dx.doi.org/10.21236/ada071604	./bibliographies\database26.txt	0.0	0.0
Yasser El-Sonbaty, M. A. Ismail, A new algorithm for subgraph optimal isomorphism	('A new algorithm for subgraph optimal isomorphism', 1998.0)	True	1.0	1.0	1998.0	A new algorithm for subgraph optimal isomorphism	Yasser El-Sonbaty and M.A. Ismail	http://dx.doi.org/10.1016/s0031-3203(97)00041-1	./bibliographies\database27.txt	47.0	14.0
Giorgos Kollias, Madan Sathe, Olaf Schenk, Ananth Grama, Fast parallel algorithms for graph similarity and matching	('Fast parallel algorithms for graph similarity and matching', 2014.0)	True	1.0	1.0	2014.0	Fast parallel algorithms for graph similarity and matching	Giorgos Kollias and Madan Sathe and Olaf Schenk and Ananth Grama	http://dx.doi.org/10.1016/j.jpdc.2013.12.010	./bibliographies\database28.txt	48.0	6.0
