[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'pruned', 'indegree', 20],
[5345,'Early Estimation Model for 3D\u2013Discrete Indian Sign Language Recognition Using Graph Matching', 'gA', 'outdegree', 29],
[4217,'Indian sign language recognition using graph matching on 3D motion captured signs', 'gA', 'outdegree', 29],
[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'gB', 'outdegree', 108],
[78,'Recent developments in graph matching', 'gB', 'outdegree', 50],
[2593,'Graph matching applications in pattern recognition and image processing', 'gB', 'outdegree', 40],
[2432,'Fast and Scalable Approximate Spectral Matching for Higher Order Graph Matching', 'gB', 'outdegree', 40],
[4962,'Efficient Graph Matching Algorithms', 'gB', 'outdegree', 39],
[2631,'The graph matching problem', 'gB', 'outdegree', 34],
[3398,'Efficient Graph Similarity Search Over Large Graph Databases', 'gB', 'outdegree', 28],
[2577,'A Probabilistic Approach to Spectral Graph Matching', 'gB', 'outdegree', 25],
[2140,'Fast computation of Bipartite graph matching', 'gB', 'outdegree', 24],
[5765,'Unsupervised Domain Adaptation Using Regularized Hyper-Graph Matching', 'gB', 'outdegree', 22],
[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'pruned', 'betweenness', 1],
[1,'Fifty years of graph matching, network alignment and network comparison', 'pruned', 'betweenness', 2],
[76,'Modeling cellular machinery through biological network comparison', 'pruned', 'betweenness', 3],
[94,'A new graph-based method for pairwise global network alignment', 'pruned', 'betweenness', 4],
[43,'Networks for systems biology: conceptual connection of data and function', 'pruned', 'betweenness', 5],
[658,'Replicator Equations, Maximal Cliques, and Graph Isomorphism', 'pruned', 'betweenness', 6],
[2,'MAGNA: Maximizing Accuracy in Global Network Alignment', 'pruned', 'betweenness', 7],
[47,'Error correcting graph matching: on the influence of the underlying cost function', 'pruned', 'betweenness', 8],
[881,'Local graph alignment and motif search in biological networks', 'pruned', 'betweenness', 9],
[3176,'A (sub]graph isomorphism algorithm for matching large graphs', 'pruned', 'betweenness', 10],
[76,'Modeling cellular machinery through biological network comparison', 'gA', 'betweenness', 1],
[1,'Fifty years of graph matching, network alignment and network comparison', 'gA', 'betweenness', 2],
[94,'A new graph-based method for pairwise global network alignment', 'gA', 'betweenness', 3],
[43,'Networks for systems biology: conceptual connection of data and function', 'gA', 'betweenness', 4],
[2,'MAGNA: Maximizing Accuracy in Global Network Alignment', 'gA', 'betweenness', 5],
[74,'Alignment-free protein interaction network comparison', 'gA', 'betweenness', 6],
[1406,'IsoRankN: spectral methods for global alignment of multiple protein networks', 'gA', 'betweenness', 7],
[881,'Local graph alignment and motif search in biological networks', 'gA', 'betweenness', 8],
[13,'NETAL: a new graph-based method for global alignment of protein\u2013protein interaction networks', 'gA', 'betweenness', 9],
[91,'How threshold behaviour affects the use of subgraphs for network comparison', 'gA', 'betweenness', 10],
[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'gB', 'betweenness', 1],
[3176,'A (sub]graph isomorphism algorithm for matching large graphs', 'gB', 'betweenness', 2],
[658,'Replicator Equations, Maximal Cliques, and Graph Isomorphism', 'gB', 'betweenness', 3],
[47,'Error correcting graph matching: on the influence of the underlying cost function', 'gB', 'betweenness', 4],
[2631,'The graph matching problem', 'gB', 'betweenness', 5],
[3169,'An in-depth comparison of subgraph isomorphism algorithms in graph databases', 'gB', 'betweenness', 6],
[266,'A new algorithm for subgraph optimal isomorphism', 'gB', 'betweenness', 7],
[2140,'Fast computation of Bipartite graph matching', 'gB', 'betweenness', 8],
[123,'A linear programming approach for the weighted graph matching problem', 'gB', 'betweenness', 9],
[129,'An eigendecomposition approach to weighted graph matching problems', 'gB', 'betweenness', 10],
[5768,'Layered graph matching with composite cluster sampling', 'pruned', 'closeness', 1],
[5765,'Unsupervised Domain Adaptation Using Regularized Hyper-Graph Matching', 'pruned', 'closeness', 2],
[5721,'Large-scale prediction of disulphide bridges using kernel methods, two-dimensional recursive neural networks, and weighted graph matching', 'pruned', 'closeness', 3],
[5705,'Graph homomorphism revisited for graph matching', 'pruned', 'closeness', 4],
[5662,'Similarity-Based Image Browsing', 'pruned', 'closeness', 5],
[5617,'Online Absolute Ranking with Partial Information: A Bipartite Graph Matching Approach', 'pruned', 'closeness', 6],
[5493,'Software verification and graph similarity for automated evaluation of students\u2019 assignments', 'pruned', 'closeness', 7],
[5444,'Fast Incremental von Neumann Graph Entropy Computation: Theory, Algorithm, and Applications', 'pruned', 'closeness', 8],
[5443,'On a certain distance between isomorphism classes of graphs', 'pruned', 'closeness', 9],
[5382,'Trust-Based Recommendation Based on Graph Similarity', 'pruned', 'closeness', 10],
[5721,'Large-scale prediction of disulphide bridges using kernel methods, two-dimensional recursive neural networks, and weighted graph matching', 'gA', 'closeness', 1],
[5662,'Similarity-Based Image Browsing', 'gA', 'closeness', 2],
[5444,'Fast Incremental von Neumann Graph Entropy Computation: Theory, Algorithm, and Applications', 'gA', 'closeness', 3],
[5443,'On a certain distance between isomorphism classes of graphs', 'gA', 'closeness', 4],
[5382,'Trust-Based Recommendation Based on Graph Similarity', 'gA', 'closeness', 5],
[5369,'Structure\u2212Activity Relationship Anatomy by Network-like Similarity Graphs and Local Structure\u2212Activity Relationship Indices', 'gA', 'closeness', 6],
[5307,'Heterogeneous Subgraph Features for Information Networks', 'gA', 'closeness', 7],
[5301,'Almost every n-vertex graph is determined by its 3log2 n-vertex subgraphs', 'gA', 'closeness', 8],
[5147,'A multigrid method based on graph matching for convection-diffusion equations', 'gA', 'closeness', 9],
[4626,'On random graphs I', 'gA', 'closeness', 10],
[5768,'Layered graph matching with composite cluster sampling', 'gB', 'closeness', 1],
[5765,'Unsupervised Domain Adaptation Using Regularized Hyper-Graph Matching', 'gB', 'closeness', 2],
[5705,'Graph homomorphism revisited for graph matching', 'gB', 'closeness', 3],
[5617,'Online Absolute Ranking with Partial Information: A Bipartite Graph Matching Approach', 'gB', 'closeness', 4],
[5493,'Software verification and graph similarity for automated evaluation of students\u2019 assignments', 'gB', 'closeness', 5],
[5230,'An Integer Projected Fixed Point Method for Graph Matching and MAP Inference', 'gB', 'closeness', 6],
[4704,'Semi-supervised learning and optimization for hypergraph matching', 'gB', 'closeness', 7],
[4345,'Image Clustering Based on Frequent Approximate Subgraph Mining', 'gB', 'closeness', 8],
[4192,'Control Flow Graph Matching for Detecting Obfuscated Programs', 'gB', 'closeness', 9],
[4173,'A Graph-Based Algorithm for Supervised Image Classification', 'gB', 'closeness', 10],
[1212,'The Hungarian method for the assignment problem', 'pruned', 'PageRank', 1],
[724,'Algorithmen - Eine Einf\xfchrung', 'pruned', 'PageRank', 2],
[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'pruned', 'PageRank', 3],
[26,'An Algorithm for Subgraph Isomorphism', 'pruned', 'PageRank', 4],
[83,'Erd\u0151s-R\xe9nyi Random Graph Revisited', 'pruned', 'PageRank', 5],
[12,'Computers and Intractability: A Guide to the Theory of NP-Completeness (Michael R. Garey and David S. Johnson]', 'pruned', 'PageRank', 6],
[129,'An eigendecomposition approach to weighted graph matching problems', 'pruned', 'PageRank', 7],
[189,'A graduated assignment algorithm for graph matching', 'pruned', 'PageRank', 8],
[622,'Linear time algorithm for isomorphism of planar graphs (Preliminary Report]', 'pruned', 'PageRank', 9],
[5525,'Fibonacci heaps and their uses in improved network optimization algorithms', 'pruned', 'PageRank', 10],
[83,'Erd\u0151s-R\xe9nyi Random Graph Revisited', 'gA', 'PageRank', 1],
[1108,'How popular is your paper? An empirical study of the citation distribution', 'gA', 'PageRank', 2],
[466,'The International Joint Conference on Artificial Intelligence (IJCAI]', 'gA', 'PageRank', 3],
[2530,'Indexing by latent semantic analysis', 'gA', 'PageRank', 4],
[1605,'Depth-First Search and Linear Graph Algorithms', 'gA', 'PageRank', 5],
[29,'SOME UNSOLVED PROBLEMS IN GRAPH THEORY', 'gA', 'PageRank', 6],
[2946,'WordNet: An electronic lexical database. Christiane Fellbaum (Ed.]. Cambridge, MA: MIT Press, 1998. Pp. 423.', 'gA', 'PageRank', 7],
[3981,'Preprint repository arXiv achieves milestone million uploads', 'gA', 'PageRank', 8],
[84,'Biological network comparison using graphlet degree distribution', 'gA', 'PageRank', 9],
[698,'None', 'gA', 'PageRank', 10],
[1212,'The Hungarian method for the assignment problem', 'gB', 'PageRank', 1],
[724,'Algorithmen - Eine Einf\xfchrung', 'gB', 'PageRank', 2],
[79,'THIRTY YEARS OF GRAPH MATCHING IN PATTERN RECOGNITION', 'gB', 'PageRank', 3],
[26,'An Algorithm for Subgraph Isomorphism', 'gB', 'PageRank', 4],
[555,'Algorithm 457: finding all cliques of an undirected graph', 'gB', 'PageRank', 5],
[1550,'Review of Problem-Solving Methods in Artificial Intelligence by Nils J. Nilsson, McGraw-Hill Pub.', 'gB', 'PageRank', 6],
[129,'An eigendecomposition approach to weighted graph matching problems', 'gB', 'PageRank', 7],
[622,'Linear time algorithm for isomorphism of planar graphs (Preliminary Report]', 'gB', 'PageRank', 8],
[189,'A graduated assignment algorithm for graph matching', 'gB', 'PageRank', 9],
[5525,'Fibonacci heaps and their uses in improved network optimization algorithms', 'gB', 'PageRank', 10],
