hash	citation	verified	checked	new_hash	author	title	year	URL	DOI
('None', 2001.0)	Foster Provost , Tom Fawcett, Robust Classification for Imprecise Environments, Machine Learning, v.42 n.3, p.203-231, March 2001  [doi>10.1023/A:1007601015854]	1	1	('Robust Classification for Imprecise Environments', 2001)	Foster Provost and Tom Fawcett	Robust Classification for Imprecise Environments	2001	http://dx.doi.org/10.1023/a:1007601015854	10.1023/a:1007601015854
('None', 1969.0)	Skorobogatov VA, Dobrynin AA: Metrical Analysis of Graphs. Commun Math Comp Chem 1988, 23:105-155.	1	1	('Metrical Analysis of Graphs', 1988)	V A Skorobogatov and A A Dobrynin	Metrical Analysis of Graphs	1969	http://dx.doi.org/10.1090/mcom/1969-23-105	10.1090/mcom/1969-23-105
('S. Fortin. The graph isomorphism problem. Technical Report 96-20, 1996.', 'CITATION ONLY')	S. Fortin. The graph isomorphism problem. Technical Report 96-20, 1996.	0	2		A. E. Kirichkov	Quantum search algorithm for graph isomorphism problem	2008	http://dx.doi.org/10.1117/12.801901	10.1117/12.801901
('Fabian Pedregosa, GaÂ¨el Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel, Mathieu Blondel, Peter Prettenhofer, Ron Weiss, Vincent Dubourg, et al. Scikit-learn: Machine Learning in Python. Journal of Machine Learning Research, 12(Oct):2825â€“2830, 2011.', 'CITATION ONLY')	Fabian Pedregosa, GaÂ¨el Varoquaux, Alexandre Gramfort, Vincent Michel, Bertrand Thirion, Olivier Grisel, Mathieu Blondel, Peter Prettenhofer, Ron Weiss, Vincent Dubourg, et al. Scikit-learn: Machine Learning in Python. Journal of Machine Learning Research, 12(Oct):2825â€“2830, 2011.	0	2		Alexandre Abraham and Fabian Pedregosa and Michael Eickenberg and Philippe Gervais and Andreas Mueller and Jean Kossaifi and Alexandre Gramfort and Bertrand Thirion and Gaël Varoquaux	Machine learning for neuroimaging with scikit-learn	2014	http://dx.doi.org/10.3389/fninf.2014.00014	10.3389/fninf.2014.00014
('Nino Shervashidze, Pascal Schweitzer, Erik Jan van Leeuwen, Kurt Mehlhorn, and Karsten M Borgwardt. Weisfeiler-Lehman Graph Kernels. Journal of Machine Learning Research, 12(Sep):2539â€“2561, 2011.', 'CITATION ONLY')	Nino Shervashidze, Pascal Schweitzer, Erik Jan van Leeuwen, Kurt Mehlhorn, and Karsten M Borgwardt. Weisfeiler-Lehman Graph Kernels. Journal of Machine Learning Research, 12(Sep):2539â€“2561, 2011.	0	2		Christopher Morris and Kristian Kersting and Petra Mutzel	Glocalized Weisfeiler-Lehman Graph Kernels: Global-Local Feature Maps of Graphs	2017	http://dx.doi.org/10.1109/icdm.2017.42	10.1109/icdm.2017.42
('Schlicker A, Domingues FS, RahnenfÃ¼hrer J, Lengauer T. A new measure for functional similarity of gene products based on gene ontology. BMC Bioinformatics. 2006;7:302.', 'CITATION ONLY')	Schlicker A, Domingues FS, RahnenfÃ¼hrer J, Lengauer T. A new measure for functional similarity of gene products based on gene ontology. BMC Bioinformatics. 2006;7:302.	0	2		Andreas Schlicker and Francisco S Domingues and Jörg Rahnenführer and Thomas Lengauer	None	2006	http://dx.doi.org/10.1186/1471-2105-7-302	10.1186/1471-2105-7-302
('P. J. Besl and N. D. McKay. Method for registration of 3-d shapes. In Robotics-DL tentative, pages 586â€“606. International Society for Optics and Photonics, 1992.', 'CITATION ONLY')	P. J. Besl and N. D. McKay. Method for registration of 3-d shapes. In Robotics-DL tentative, pages 586â€“606. International Society for Optics and Photonics, 1992.	0	2		Paul J. Besl and Neil D. McKay	<title>Method for registration of 3-D shapes</title>	1992	http://dx.doi.org/10.1117/12.57955	10.1117/12.57955
('T. Cour, P. Srinivasan, and J. Shi. Balanced graph matching. In NIPS, volume 2, page 6, 2006.', 'CITATION ONLY')	T. Cour, P. Srinivasan, and J. Shi. Balanced graph matching. In NIPS, volume 2, page 6, 2006.	0	2		None	Spectral Segmentation with Multiscale Graph Decomposition	None	http://dx.doi.org/10.1109/cvpr.2005.332	10.1109/cvpr.2005.332
('K. Simonyan and A. Zisserman. Very deep convolutional networks for large-scale image recognition. arXiv preprint arXiv:1409.1556, 2014.', 'CITATION ONLY')	K. Simonyan and A. Zisserman. Very deep convolutional networks for large-scale image recognition. arXiv preprint arXiv:1409.1556, 2014.	0	2		None	Preprint repository arXiv achieves milestone million uploads	2014	http://dx.doi.org/10.1063/pt.5.028530	10.1063/pt.5.028530
('Brand, M.: Continuous nonlinear dimensionality reduction by kernel eigenmaps. In: International Joint Conference on Artificial Intelligence (IJCAI), pp. 547â€“554. ACM, Acapulco (2010)', 'CITATION ONLY')	Brand, M.: Continuous nonlinear dimensionality reduction by kernel eigenmaps. In: International Joint Conference on Artificial Intelligence (IJCAI), pp. 547â€“554. ACM, Acapulco (2010)	0	2		None	The International Joint Conference on Artificial Intelligence (IJCAI)	1972	http://dx.doi.org/10.1016/0004-3702(72)90052-5	10.1016/0004-3702(72)90052-5
('Nene, S.A., Nayar, S.K., Murase, H.: Columbia object image library (coil-20). Technical report CUCS-005-96, Location (1996)', 'CITATION ONLY')	Nene, S.A., Nayar, S.K., Murase, H.: Columbia object image library (coil-20). Technical report CUCS-005-96, Location (1996)	0	2		S.K. Nayar and S.A. Nene and H. Murase	Real-time 100 object recognition system	None	http://dx.doi.org/10.1109/robot.1996.506510	10.1109/robot.1996.506510
('Cordella, L.P., Foggia, P., Sansone, C., Vento, M.: Evaluating performance of the VF graph matching algorithm. In: Proceedings of the 10th International Conference on Image Analysis and Processing, pp. 1172â€“1177. IEEE Computer Society Press (1999)', 'CITATION ONLY')	Cordella, L.P., Foggia, P., Sansone, C., Vento, M.: Evaluating performance of the VF graph matching algorithm. In: Proceedings of the 10th International Conference on Image Analysis and Processing, pp. 1172â€“1177. IEEE Computer Society Press (1999)	0	2		L.P. Cordella and P. Foggia and C. Sansone and M. Vento	Performance evaluation of the VF graph matching algorithm	None	http://dx.doi.org/10.1109/iciap.1999.797762	10.1109/iciap.1999.797762
('Cordella, L.P., Foggia, P., Sansone, C., Vento, M.: An improved algorithm for matching large graphs. In: 3rd International Workshop on Graph-based Representations, Italy (2001)', 'CITATION ONLY')	Cordella, L.P., Foggia, P., Sansone, C., Vento, M.: An improved algorithm for matching large graphs. In: 3rd International Workshop on Graph-based Representations, Italy (2001)	0	2		L.P. Cordella and P. Foggia and C. Sansone and M. Vento	Performance evaluation of the VF graph matching algorithm	None	http://dx.doi.org/10.1109/iciap.1999.797762	10.1109/iciap.1999.797762
('McKay, B.D.: Practical graph isomorphism. Congressus Numerantium 30, 45â€“87 (1981)', 'CITATION ONLY')	McKay, B.D.: Practical graph isomorphism. Congressus Numerantium 30, 45â€“87 (1981)	0	2		None	Graph Isomorphism, 1980; McKay	None	http://dx.doi.org/10.1007/springerreference_57691	10.1007/springerreference_57691
('L.P. Cordella, P. Foggia, C. Sansone, M. Vento. An improved algorithm for matching large graphs. 3rd IAPR-TC15 Workshop on GBR (2001), pp. 149â€“159', 'CITATION ONLY')	L.P. Cordella, P. Foggia, C. Sansone, M. Vento. An improved algorithm for matching large graphs. 3rd IAPR-TC15 Workshop on GBR (2001), pp. 149â€“159	0	2		L.P. Cordella and P. Foggia and C. Sansone and M. Vento	A (sub)graph isomorphism algorithm for matching large graphs	2004	http://dx.doi.org/10.1109/tpami.2004.75	10.1109/tpami.2004.75
('P. Foggia, G. Percannella, M. Vento. Graph Matching and Learning in Pattern Recognition on the last ten years. Int J Pattern Recogn, 28 (1) (2014)', 'CITATION ONLY')	P. Foggia, G. Percannella, M. Vento. Graph Matching and Learning in Pattern Recognition on the last ten years. Int J Pattern Recogn, 28 (1) (2014)	1	2		PASQUALE FOGGIA and GENNARO PERCANNELLA and MARIO VENTO	GRAPH MATCHING AND LEARNING IN PATTERN RECOGNITION IN THE LAST 10 YEARS	2014	http://dx.doi.org/10.1142/s0218001414500013	10.1142/s0218001414500013
('Liu Y, Nie L, Han L, Zhang L, Rosenblum DS (2015) Action2activity: recognizing complex activities from sensor data. In: IJCAI, vol 2015, pp 1617â€“1623', 'CITATION ONLY')	Liu Y, Nie L, Han L, Zhang L, Rosenblum DS (2015) Action2activity: recognizing complex activities from sensor data. In: IJCAI, vol 2015, pp 1617â€“1623	0	2		Ye Liu and Liqiang Nie and Li Liu and David S. Rosenblum	From action to activity: Sensor-based activity recognition	2016	http://dx.doi.org/10.1016/j.neucom.2015.08.096	10.1016/j.neucom.2015.08.096
('Pooria Joulani, AndrÂ´as GyÂ¨orgy, and Csaba SzepesvÂ´ari. Delay-tolerant online convex optimization: Unified analysis and adaptive-gradient algorithms. In Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, AAAIâ€™16, pages 1744â€“1750. AAAI Press, 2016.', 'CITATION ONLY')	Pooria Joulani, AndrÂ´as GyÂ¨orgy, and Csaba SzepesvÂ´ari. Delay-tolerant online convex optimization: Unified analysis and adaptive-gradient algorithms. In Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, AAAIâ€™16, pages 1744â€“1750. AAAI Press, 2016.	0	2		None	Call for papers: AAAI-84	1984	http://dx.doi.org/10.1016/0004-3702(84)90030-4	10.1016/0004-3702(84)90030-4
('Christos H. Papadimitriou and Kenneth Steiglitz. Combinatorial optimization: algorithms and complexity. Dover Publications, Inc., Mineola, NY, 1998. Corrected reprint of the 1982 original.', 'CITATION ONLY')	Christos H. Papadimitriou and Kenneth Steiglitz. Combinatorial optimization: algorithms and complexity. Dover Publications, Inc., Mineola, NY, 1998. Corrected reprint of the 1982 original.	0.5	2		Richard T. Wong	Combinatorial Optimization: Algorithms and Complexity (Christos H. Papadimitriou and Kenneth Steiglitz)	1983	http://dx.doi.org/10.1137/1025101	10.1137/1025101
('Von M C, Krause R, Snel B, et al. Comparative assessment of large-scale data sets of protein-protein interactions.[J]. Nature, 2002, 417(6887):399.', 'CITATION ONLY')	Von M C, Krause R, Snel B, et al. Comparative assessment of large-scale data sets of protein-protein interactions.[J]. Nature, 2002, 417(6887):399.	1	2		Christian von Mering and Roland Krause and Berend Snel and Michael Cornell and Stephen G. Oliver and Stanley Fields and Peer Bork	Comparative assessment of large-scale data sets of      protein\ufffdprotein interactions	2002	http://dx.doi.org/10.1038/nature750	10.1038/nature750
('1000 Genomes Project Consortium. A global reference for human genetic variation. Nature 526, 68â€“74 (2015).', 'CITATION ONLY')	1000 Genomes Project Consortium. A global reference for human genetic variation. Nature 526, 68â€“74 (2015).	0	2		None	An integrated map of genetic variation from 1,092 human genomes	2012	http://dx.doi.org/10.1038/nature11632	10.1038/nature11632
('SirÃ©n, J. Indexing variation graphs. Preprint at https://arxiv.org/abs/1604.06605 (2016).', 'CITATION ONLY')	SirÃ©n, J. Indexing variation graphs. Preprint at https://arxiv.org/abs/1604.06605 (2016).	0	2		None	Preprint repository arXiv achieves milestone million uploads	2014	http://dx.doi.org/10.1063/pt.5.028530	10.1063/pt.5.028530
('Graph isomorphism in quasipolynomial time [extended abstract]. In Proceedings of the 48th Annual ACM SIGACT Symposium on Theory of Computing, STOC 2016, Cambridge, MA, USA, June 18-21, 2016. 684â€“697.  [doi>10.1145/2897518.2897542]', 'CITATION ONLY')	Graph isomorphism in quasipolynomial time [extended abstract]. In Proceedings of the 48th Annual ACM SIGACT Symposium on Theory of Computing, STOC 2016, Cambridge, MA, USA, June 18-21, 2016. 684â€“697.  [doi>10.1145/2897518.2897542]	0	2		László Babai	Graph isomorphism in quasipolynomial time [extended abstract]	2016	http://dx.doi.org/10.1145/2897518.2897542	10.1145/2897518.2897542
('LÃ¡szlÃ³ Babai, William M. Kantor, and Eugene M. Luks. 1983.', 'CITATION ONLY')	LÃ¡szlÃ³ Babai, William M. Kantor, and Eugene M. Luks. 1983.	0	2		L. Babai and W. M. Kantor and E. M. Luks	Computational complexity and the classification of finite simple groups	1983	http://dx.doi.org/10.1109/sfcs.1983.10	10.1109/sfcs.1983.10
('Computational Complexity and the Classification of Finite Simple Groups. In 24th Annual Symposium on Foundations of Computer Science, Tucson, Arizona, USA, 7-9 November 1983. 162â€“171.  [doi>10.1109/SFCS.1983.10]', 'CITATION ONLY')	Computational Complexity and the Classification of Finite Simple Groups. In 24th Annual Symposium on Foundations of Computer Science, Tucson, Arizona, USA, 7-9 November 1983. 162â€“171.  [doi>10.1109/SFCS.1983.10]	0	2		L. Babai and W. M. Kantor and E. M. Luks	Computational complexity and the classification of finite simple groups	1983	http://dx.doi.org/10.1109/sfcs.1983.10	10.1109/sfcs.1983.10
('Eldar Fischer and Arie Matsliah. 2008.', 'CITATION ONLY')	Eldar Fischer and Arie Matsliah. 2008.	0	2		Eldar Fischer and Arie Matsliah	Testing Graph Isomorphism	2008	http://dx.doi.org/10.1137/070680795	10.1137/070680795
('ClÃ©ment L. Canonne. 2015. A Survey on Distribution Testing: Your Data is Big. But is it Blue? Electronic Colloquium on Computational Complexity (ECCC) 22 (2015), 63. http://eccc.hpiweb.de/report/2015/063', 'CITATION ONLY')	ClÃ©ment L. Canonne. 2015. A Survey on Distribution Testing: Your Data is Big. But is it Blue? Electronic Colloquium on Computational Complexity (ECCC) 22 (2015), 63. http://eccc.hpiweb.de/report/2015/063	0	2		None	10th anniversary ECCC-the electronic colloquium on computational complexity	2004	http://dx.doi.org/10.1109/ccc.2004.1313758	10.1109/ccc.2004.1313758
('T. Milenkovic and N. Pr Â´ zulj, â€œUncovering biological network function via graphlet degree Ë‡ signatures.,â€\\x9d Cancer Inform., vol. 6, p. 257, Jan. 2008.', 'CITATION ONLY')	T. Milenkovic and N. Pr Â´ zulj, â€œUncovering biological network function via graphlet degree Ë‡ signatures.,â€\x9d Cancer Inform., vol. 6, p. 257, Jan. 2008.	0	2		Tijana Milenkovi\u0107 and Nataša Pržulj	Uncovering Biological Network Function via Graphlet Degree Signatures	2008	http://dx.doi.org/10.4137/cin.s680	10.4137/cin.s680
('N. Shervashidze, S. Vishwanathan, T. H. Petri, K. Mehlhorn, and K. M. Borgwardt, â€œEfficient graphlet kernels for large graph comparison,â€\\x9d in Int. Conf. Artif. Intell. Stat., vol. 5, pp. 488â€“ 495, Apr. 2009.', 'CITATION ONLY')	N. Shervashidze, S. Vishwanathan, T. H. Petri, K. Mehlhorn, and K. M. Borgwardt, â€œEfficient graphlet kernels for large graph comparison,â€\x9d in Int. Conf. Artif. Intell. Stat., vol. 5, pp. 488â€“ 495, Apr. 2009.	0	2		Risi Kondor and Nino Shervashidze and Karsten M. Borgwardt	The graphlet spectrum	2009	http://dx.doi.org/10.1145/1553374.1553443	10.1145/1553374.1553443
('J.-F. Cai, E. J. Candes, and Z. Shen, â€œA singular value thresholding algorithm for matrix ` completion,â€\\x9d SIAM J. Optim, vol. 20, pp. 1956â€“1982, Mar. 2010.', 'CITATION ONLY')	J.-F. Cai, E. J. Candes, and Z. Shen, â€œA singular value thresholding algorithm for matrix ` completion,â€\x9d SIAM J. Optim, vol. 20, pp. 1956â€“1982, Mar. 2010.	0	2		Jian-Feng Cai and Emmanuel J. Candès and Zuowei Shen	A Singular Value Thresholding Algorithm for Matrix Completion	2010	http://dx.doi.org/10.1137/080738970	10.1137/080738970
('S. Chen, Y. Yang, J. Moura, J. Kovacevi Ë‡ c,Â´ et al., â€œSignal localization, decomposition and dictionary learning on graphs,â€\\x9d arXiv preprint arXiv:1607.01100, 2016.', 'CITATION ONLY')	S. Chen, Y. Yang, J. Moura, J. Kovacevi Ë‡ c,Â´ et al., â€œSignal localization, decomposition and dictionary learning on graphs,â€\x9d arXiv preprint arXiv:1607.01100, 2016.	0	2		None	Preprint repository arXiv achieves milestone million uploads	2014	http://dx.doi.org/10.1063/pt.5.028530	10.1063/pt.5.028530
('J. Pang and G. Cheung, â€œGraph laplacian regularization for inverse imaging: Analysis in the continuous domain,â€\\x9d arXiv preprint arXiv:1604.07948, Apr. 2016.', 'CITATION ONLY')	J. Pang and G. Cheung, â€œGraph laplacian regularization for inverse imaging: Analysis in the continuous domain,â€\x9d arXiv preprint arXiv:1604.07948, Apr. 2016.	0	2		None	Preprint repository arXiv achieves milestone million uploads	2014	http://dx.doi.org/10.1063/pt.5.028530	10.1063/pt.5.028530
('J. Ma, W. Huang, S. Segarra, and A. Ribeiro, â€œDiffusion filtering for graph signals and its use in recommendation systems,â€\\x9d in Proc. Int. Conf. Acoustics Speech Signal Process, (Shanghai, China), pp. 4563 â€“ 4567, 2016.', 'CITATION ONLY')	J. Ma, W. Huang, S. Segarra, and A. Ribeiro, â€œDiffusion filtering for graph signals and its use in recommendation systems,â€\x9d in Proc. Int. Conf. Acoustics Speech Signal Process, (Shanghai, China), pp. 4563 â€“ 4567, 2016.	0	2		Jeremy Ma and Weiyu Huang and Santiago Segarra and Alejandro Ribeiro	Diffusion filtering of graph signals and its use in recommendation systems	2016	http://dx.doi.org/10.1109/icassp.2016.7472541	10.1109/icassp.2016.7472541
('W. Huang, R. Ghrist, and A. Ribeiro, â€œFrequency representation of networks using persistent homology,â€\\x9d IEEE Trans. Signal Process., p. (submitted), Apr. 2018.', 'CITATION ONLY')	W. Huang, R. Ghrist, and A. Ribeiro, â€œFrequency representation of networks using persistent homology,â€\x9d IEEE Trans. Signal Process., p. (submitted), Apr. 2018.	0	2		Weiyu Huang and Alejandro Ribeiro	Persistent Homology Lower Bounds on High-Order Network Distances	2017	http://dx.doi.org/10.1109/tsp.2016.2620963	10.1109/tsp.2016.2620963
('W. Huang, A. G. Marques, and A. Ribeiro, â€œRating prediction via graph signal processing,â€\\x9d IEEE Trans. Signal Process., p. (revised), Apr. 2018.', 'CITATION ONLY')	W. Huang, A. G. Marques, and A. Ribeiro, â€œRating prediction via graph signal processing,â€\x9d IEEE Trans. Signal Process., p. (revised), Apr. 2018.	0	2		Weiyu Huang and Antonio G. Marques and Alejandro Ribeiro	Collaborative filtering via graph signal processing	2017	http://dx.doi.org/10.23919/eusipco.2017.8081498	10.23919/eusipco.2017.8081498
('W. Huang, A. G. Marques, and A. Ribeiro, â€œMatrix completion via graph signal processing,â€\\x9d in Proc. Int. Conf. Acoustics Speech Signal Process., p. (accepted), Apr. 2018.', 'CITATION ONLY')	W. Huang, A. G. Marques, and A. Ribeiro, â€œMatrix completion via graph signal processing,â€\x9d in Proc. Int. Conf. Acoustics Speech Signal Process., p. (accepted), Apr. 2018.	0	2		Weiyu Huang and Antonio G. Marques and Alejandro Ribeiro	Collaborative filtering via graph signal processing	2017	http://dx.doi.org/10.23919/eusipco.2017.8081498	10.23919/eusipco.2017.8081498
('W. Huang, T. A. W. Bolton, J. D. Medaglia, D. S. Bassett, A. Ribeiro, and D. Van De Ville, â€œGraph signal processing of human brain imaging data,â€\\x9d in Proc. Int. Conf. Acoustics Speech Signal Process., p. (accepted), Apr. 2018.', 'CITATION ONLY')	W. Huang, T. A. W. Bolton, J. D. Medaglia, D. S. Bassett, A. Ribeiro, and D. Van De Ville, â€œGraph signal processing of human brain imaging data,â€\x9d in Proc. Int. Conf. Acoustics Speech Signal Process., p. (accepted), Apr. 2018.	0	2		Weiyu Huang and Thomas A. W. Bolton and John D. Medaglia and Danielle S. Bassett and Alejandro Ribeiro and Dimitri Van De Ville	A Graph Signal Processing Perspective on Functional Brain Imaging	2018	http://dx.doi.org/10.1109/jproc.2018.2798928	10.1109/jproc.2018.2798928
('G. Carlsson, F. Memoli, A. Ribeiro, and S. Segarra, â€œAxiomatic construction of hierarchi- Â´ cal clustering in asymmetric networks,â€\\x9d in IEEE Int. Conf. Acoust., Speech, Signal Process., pp. 5219â€“5223, 2013.', 'CITATION ONLY')	G. Carlsson, F. Memoli, A. Ribeiro, and S. Segarra, â€œAxiomatic construction of hierarchi- Â´ cal clustering in asymmetric networks,â€\x9d in IEEE Int. Conf. Acoust., Speech, Signal Process., pp. 5219â€“5223, 2013.	0	2		Gunnar Carlsson and Facundo Memoli and Alejandro Ribeiro and Santiago Segarra	Axiomatic construction of hierarchical clustering in asymmetric networks	2013	http://dx.doi.org/10.1109/icassp.2013.6638658	10.1109/icassp.2013.6638658
('B. Gauzere, L. Brun, D. Villemin, and M. Brun, â€œGraph kernels based on relevant patterns and cycle information for chemoinformatics,â€\\x9d in Proc. of IEEE International Conference on Pattern Recognition, pp. 1775-1778, 2012.', 'CITATION ONLY')	B. Gauzere, L. Brun, D. Villemin, and M. Brun, â€œGraph kernels based on relevant patterns and cycle information for chemoinformatics,â€\x9d in Proc. of IEEE International Conference on Pattern Recognition, pp. 1775-1778, 2012.	0	2		Benoit Gaüzère and Luc Brun and Didier Villemin	Two new graphs kernels in chemoinformatics	2012	http://dx.doi.org/10.1016/j.patrec.2012.03.020	10.1016/j.patrec.2012.03.020
('S. Vishwanathan, N.N. Schraudolph, R. Kondor, and K.M. Borgwardt, â€œGraph kernels,â€\\x9d Journal of Machine Learning Research, vol. 11, no. 2, pp. 1201-1242, 2010.', 'CITATION ONLY')	S. Vishwanathan, N.N. Schraudolph, R. Kondor, and K.M. Borgwardt, â€œGraph kernels,â€\x9d Journal of Machine Learning Research, vol. 11, no. 2, pp. 1201-1242, 2010.	0	2		KARSTEN M. BORGWARDT and HANS-PETER KRIEGEL and S. V. N. VISHWANATHAN and NICOL N. SCHRAUDOLPH	GRAPH KERNELS FOR DISEASE OUTCOME PREDICTION FROM PROTEIN-PROTEIN INTERACTION NETWORKS	2006	http://dx.doi.org/10.1142/9789812772435_0002	10.1142/9789812772435_0002
('M. Leordeanu and M. Hebert, â€œA spectral technique for correspondence problem using pairwise constraints,â€\\x9d in Proc. of IEEE International Conference on Computer Vision, pp. 1482-1489, 2005.', 'CITATION ONLY')	M. Leordeanu and M. Hebert, â€œA spectral technique for correspondence problem using pairwise constraints,â€\x9d in Proc. of IEEE International Conference on Computer Vision, pp. 1482-1489, 2005.	0	2		M. Leordeanu and M. Hebert	A spectral technique for correspondence problems using pairwise constraints	2005	http://dx.doi.org/10.1109/iccv.2005.20	10.1109/iccv.2005.20
('N. Shervashidze, P. Schweitzer, E.J. Leeuwen, K. Mehlhorn, and K.M. Borgwardt. â€œWeisfeiler-lehman graph kernels,â€\\x9d Journal of Machine Learning Research, vol. 12, pp. 2539-2561, 2011.', 'CITATION ONLY')	N. Shervashidze, P. Schweitzer, E.J. Leeuwen, K. Mehlhorn, and K.M. Borgwardt. â€œWeisfeiler-lehman graph kernels,â€\x9d Journal of Machine Learning Research, vol. 12, pp. 2539-2561, 2011.	0	2		Risi Kondor and Nino Shervashidze and Karsten M. Borgwardt	The graphlet spectrum	2009	http://dx.doi.org/10.1145/1553374.1553443	10.1145/1553374.1553443
('N. Shervashidze, S. Vishwanathan, and T.H. Petri, â€œEfficient graphlet kernels for large graph comparison,â€\\x9d Journal of Machine Learning Research, vol. 5, pp. 488-495, 2009.', 'CITATION ONLY')	N. Shervashidze, S. Vishwanathan, and T.H. Petri, â€œEfficient graphlet kernels for large graph comparison,â€\x9d Journal of Machine Learning Research, vol. 5, pp. 488-495, 2009.	0	2		Risi Kondor and Nino Shervashidze and Karsten M. Borgwardt	The graphlet spectrum	2009	http://dx.doi.org/10.1145/1553374.1553443	10.1145/1553374.1553443
